model,round,fisher_r2_step3_auroc,fisher_r2_step3_sign,fisher_r2_step3_n_evaluated,is_winner_cell
Llama-3.1-8B-Instruct-4bit,R1,0.5024,1,50,False
Llama-3.1-8B-Instruct-4bit,R2,0.6368,1,50,False
Llama-3.1-8B-Instruct-4bit,R3,0.584,1,50,True
Llama-3.2-3B-Instruct-4bit,R1,0.5059288537549408,-1,45,False
Llama-3.2-3B-Instruct-4bit,R2,0.5016666666666667,-1,49,False
Llama-3.2-3B-Instruct-4bit,R3,0.5098814229249012,1,45,False
Mistral-7B-Instruct-v0.3-4bit,R1,nan,0,2,False
Mistral-7B-Instruct-v0.3-4bit,R2,1.0,1,4,True
Mistral-7B-Instruct-v0.3-4bit,R3,0.6,-1,6,False
Mistral-Nemo-Instruct-2407-4bit,R1,0.6384,1,50,False
Mistral-Nemo-Instruct-2407-4bit,R2,0.5952000000000001,1,50,False
Mistral-Nemo-Instruct-2407-4bit,R3,0.5088,-1,50,False
Phi-3.5-mini-instruct-4bit,R1,0.6944,1,50,False
Phi-3.5-mini-instruct-4bit,R2,0.5888,1,50,False
Phi-3.5-mini-instruct-4bit,R3,0.536,-1,50,False
Phi-4-mini-instruct-4bit,R1,0.5791999999999999,1,50,False
Phi-4-mini-instruct-4bit,R2,0.5408,1,50,False
Phi-4-mini-instruct-4bit,R3,0.5104,-1,50,False
Qwen2.5-7B-Instruct-4bit,R1,0.5472000000000001,-1,50,False
Qwen2.5-7B-Instruct-4bit,R2,0.576,1,50,False
Qwen2.5-7B-Instruct-4bit,R3,0.536,1,50,False
Qwen3-1.7B-4bit,R1,0.5536,-1,50,False
Qwen3-1.7B-4bit,R2,0.5088,-1,50,False
Qwen3-1.7B-4bit,R3,0.5664,-1,50,False
Qwen3-8B-4bit,R1,0.5408,-1,50,False
Qwen3-8B-4bit,R2,0.6464,-1,50,False
Qwen3-8B-4bit,R3,0.5104,1,50,False
gemma-3-1b-it-4bit,R1,0.5488,-1,50,False
gemma-3-1b-it-4bit,R2,0.544,-1,50,False
gemma-3-1b-it-4bit,R3,0.6416,-1,50,True
gemma-3-4b-it-4bit,R1,0.5797101449275363,1,47,False
gemma-3-4b-it-4bit,R2,0.6983333333333333,1,49,True
gemma-3-4b-it-4bit,R3,0.5383333333333333,1,49,False
