model,round,winning_cell,sign,in_sample_auroc,in_sample_ci_lo,in_sample_ci_hi,oob_median,oob_ci_lo,oob_ci_hi,winner_stability,n_warnings,warnings
Llama-3.1-8B-Instruct-4bit,R1,Centered r=4 @ st 1,-1,0.6592,0.5016025641025641,0.8067632850241546,0.5535714285714286,0.2713392857142857,0.7666964285714284,0.362,3,wide_ci (95%% CI width=0.31; >0.30 implies n too small); oob_low_auroc (oob_median=0.554; <0.60 means the cell selection didn't generalize beyond the calibration sample); winner_unstable (winner_stability=0.36; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Llama-3.1-8B-Instruct-4bit,R2,Fisher r=1 @ st 1,1,0.6784,0.5249989935587761,0.8230832027168232,0.5476190476190477,0.2857142857142857,0.7693181818181813,0.3465,2,oob_low_auroc (oob_median=0.548; <0.60 means the cell selection didn't generalize beyond the calibration sample); winner_unstable (winner_stability=0.35; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Llama-3.1-8B-Instruct-4bit,R3,Fisher r=2 @ st 3,1,0.584,0.42207792207792205,0.7439821105072463,0.4285714285714286,0.19444444444444445,0.6333333333333333,0.1845,5,low_auroc (best=0.584; <0.65 likely not deployable); wide_ci (95%% CI width=0.32; >0.30 implies n too small); oob_low_auroc (oob_median=0.429; <0.60 means the cell selection didn't generalize beyond the calibration sample); large_oob_in_sample_gap (in_sample=0.584, oob_median=0.429, gap=0.155; in-sample AUROC is materially over-stated by selection bias); winner_unstable (winner_stability=0.18; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Llama-3.2-3B-Instruct-4bit,R1,Fisher r=1 @ st 1,1,0.5968,0.4366809267624485,0.7504502463054185,0.4666666666666667,0.18681318681318682,0.6984126984126984,0.2575,4,low_auroc (best=0.597; <0.65 likely not deployable); wide_ci (95%% CI width=0.31; >0.30 implies n too small); oob_low_auroc (oob_median=0.467; <0.60 means the cell selection didn't generalize beyond the calibration sample); winner_unstable (winner_stability=0.26; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Llama-3.2-3B-Instruct-4bit,R2,Raw r=2 @ st 4,1,0.6883333333333332,0.5268898664059954,0.8344623773971599,0.5974025974025974,0.27770833333333333,0.8,0.459,3,wide_ci (95%% CI width=0.31; >0.30 implies n too small); oob_low_auroc (oob_median=0.597; <0.60 means the cell selection didn't generalize beyond the calibration sample); winner_unstable (winner_stability=0.46; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Llama-3.2-3B-Instruct-4bit,R3,Fisher r=1 @ st 1,1,0.7104000000000001,0.5535542582417582,0.853472073487066,0.6375,0.2652706916099773,0.8571428571428571,0.4285,1,winner_unstable (winner_stability=0.43; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Mistral-7B-Instruct-v0.3-4bit,R1,Fisher r=1 @ st 1,1,0.6448,0.4794571244574173,0.7987117552334944,0.5416666666666667,0.2687276785714285,0.7833522727272726,0.3875,7,low_auroc (best=0.645; <0.65 likely not deployable); wide_ci (95%% CI width=0.32; >0.30 implies n too small); insufficient_coverage_at_Fisher r=2 @ step 3 (n_evaluated=2/50; model EOS'd before this step too often); insufficient_coverage_at_Raw r=2 @ step 4 (n_evaluated=2/50; model EOS'd before this step too often); insufficient_coverage_at_Raw r=21 @ step 3 (n_evaluated=2/50; model EOS'd before this step too often); oob_low_auroc (oob_median=0.542; <0.60 means the cell selection didn't generalize beyond the calibration sample); winner_unstable (winner_stability=0.39; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Mistral-7B-Instruct-v0.3-4bit,R2,Fisher r=2 @ st 3,1,1.0,1.0,1.0,0.5833333333333333,0.31197916666666664,0.7871643518518517,0.465,6,insufficient_coverage_at_Fisher r=2 @ step 3 (n_evaluated=4/50; model EOS'd before this step too often); insufficient_coverage_at_Raw r=2 @ step 4 (n_evaluated=4/50; model EOS'd before this step too often); insufficient_coverage_at_Raw r=21 @ step 3 (n_evaluated=4/50; model EOS'd before this step too often); oob_low_auroc (oob_median=0.583; <0.60 means the cell selection didn't generalize beyond the calibration sample); large_oob_in_sample_gap (in_sample=1.000, oob_median=0.583, gap=0.417; in-sample AUROC is materially over-stated by selection bias); winner_unstable (winner_stability=0.47; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Mistral-7B-Instruct-v0.3-4bit,R3,Fisher r=1 @ st 1,1,0.8896,0.7775968057677617,0.973727422003284,0.85,0.6621578421578421,1.0,0.5185,4,insufficient_coverage_at_Fisher r=2 @ step 3 (n_evaluated=6/50; model EOS'd before this step too often); insufficient_coverage_at_Raw r=2 @ step 4 (n_evaluated=6/50; model EOS'd before this step too often); insufficient_coverage_at_Raw r=21 @ step 3 (n_evaluated=6/50; model EOS'd before this step too often); winner_unstable (winner_stability=0.52; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Mistral-Nemo-Instruct-2407-4bit,R1,Centered r=2 @ st 1,1,0.8224,0.6994915240792301,0.9280142857142857,0.8,0.5,0.9583333333333333,0.8435,0,
Mistral-Nemo-Instruct-2407-4bit,R2,scalar d_F_full @ st 1,-1,0.8224,0.6833271756978654,0.9391050000000001,0.7906926406926407,0.5090277777777779,0.9750000000000001,0.5775,1,winner_unstable (winner_stability=0.58; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Mistral-Nemo-Instruct-2407-4bit,R3,Centered r=2 @ st 1,1,0.7328,0.5845379258422736,0.8621869694397284,0.6666666666666667,0.30546875,0.875,0.7085,0,
Phi-3.5-mini-instruct-4bit,R1,Fisher r=1 @ st 1,1,0.7120000000000001,0.5571256038647342,0.8540000679117148,0.6060606060606061,0.36246527777777776,0.8125,0.3305,1,winner_unstable (winner_stability=0.33; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Phi-3.5-mini-instruct-4bit,R2,Centered r=2 @ st 1,1,0.6943999999999999,0.546789937792093,0.8405797101449275,0.6125,0.29287878787878796,0.8333333333333334,0.5985,1,winner_unstable (winner_stability=0.60; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Phi-3.5-mini-instruct-4bit,R3,scalar kl_discharged @ st 1,-1,0.7104,0.5544591543513958,0.8502421917383555,0.6166666666666667,0.3,0.8454720279720279,0.5195,1,winner_unstable (winner_stability=0.52; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Phi-4-mini-instruct-4bit,R1,Fisher r=1 @ st 1,-1,0.6607999999999999,0.5040000000000001,0.8196674098848011,0.544949494949495,0.25756493506493505,0.75,0.3875,3,wide_ci (95%% CI width=0.32; >0.30 implies n too small); oob_low_auroc (oob_median=0.545; <0.60 means the cell selection didn't generalize beyond the calibration sample); winner_unstable (winner_stability=0.39; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Phi-4-mini-instruct-4bit,R2,Centered r=2 @ st 1,1,0.5824,0.4233333333333334,0.7356391248820034,0.44258241758241756,0.21904017857142857,0.6381428571428568,0.2175,4,low_auroc (best=0.582; <0.65 likely not deployable); wide_ci (95%% CI width=0.31; >0.30 implies n too small); oob_low_auroc (oob_median=0.443; <0.60 means the cell selection didn't generalize beyond the calibration sample); winner_unstable (winner_stability=0.22; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Phi-4-mini-instruct-4bit,R3,scalar kl_discharged @ st 1,-1,0.5568,0.391965625,0.7232014940577249,0.4125992063492064,0.16666666666666669,0.6060606060606061,0.1765,4,low_auroc (best=0.557; <0.65 likely not deployable); wide_ci (95%% CI width=0.33; >0.30 implies n too small); oob_low_auroc (oob_median=0.413; <0.60 means the cell selection didn't generalize beyond the calibration sample); winner_unstable (winner_stability=0.18; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Qwen2.5-7B-Instruct-4bit,R1,Fisher r=1 @ st 1,1,0.7183999999999999,0.5649809027777777,0.8522800116550115,0.6444444444444444,0.3331818181818182,0.8523200757575755,0.515,1,winner_unstable (winner_stability=0.52; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Qwen2.5-7B-Instruct-4bit,R2,scalar d_F_full @ st 1,-1,0.6048,0.4482908456486042,0.757014187192118,0.45341435185185186,0.20833333333333331,0.6666666666666667,0.285,5,low_auroc (best=0.605; <0.65 likely not deployable); wide_ci (95%% CI width=0.31; >0.30 implies n too small); oob_low_auroc (oob_median=0.453; <0.60 means the cell selection didn't generalize beyond the calibration sample); large_oob_in_sample_gap (in_sample=0.605, oob_median=0.453, gap=0.151; in-sample AUROC is materially over-stated by selection bias); winner_unstable (winner_stability=0.28; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Qwen2.5-7B-Instruct-4bit,R3,Fisher r=1 @ st 1,1,0.6832,0.5178514194139193,0.8261078595317725,0.5833333333333334,0.333203125,0.7792207792207791,0.267,3,wide_ci (95%% CI width=0.31; >0.30 implies n too small); oob_low_auroc (oob_median=0.583; <0.60 means the cell selection didn't generalize beyond the calibration sample); winner_unstable (winner_stability=0.27; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Qwen3-1.7B-4bit,R1,Centered r=4 @ st 1,-1,0.6832,0.5272321428571429,0.8208685064935063,0.575,0.3249519230769231,0.7600340909090907,0.26,2,oob_low_auroc (oob_median=0.575; <0.60 means the cell selection didn't generalize beyond the calibration sample); winner_unstable (winner_stability=0.26; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Qwen3-1.7B-4bit,R2,Raw r=2 @ st 4,-1,0.7152000000000001,0.5633327922077922,0.8631239935587761,0.6166666666666667,0.2987012987012987,0.8374999999999999,0.6045,1,winner_unstable (winner_stability=0.60; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Qwen3-1.7B-4bit,R3,Centered r=2 @ st 1,-1,0.6576,0.5015801288244766,0.7987305923686997,0.5345454545454545,0.2592230902777778,0.75,0.351,2,oob_low_auroc (oob_median=0.535; <0.60 means the cell selection didn't generalize beyond the calibration sample); winner_unstable (winner_stability=0.35; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Qwen3-8B-4bit,R1,scalar d_F_full @ st 1,1,0.9136000000000001,0.8125,0.9864288083947353,0.909090909090909,0.7474386724386725,1.0,0.879,0,
Qwen3-8B-4bit,R2,scalar d_F_full @ st 1,1,0.7456,0.6038550620072359,0.876602564102564,0.6444444444444444,0.34521825396825395,0.8690746753246751,0.5515,1,winner_unstable (winner_stability=0.55; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
Qwen3-8B-4bit,R3,scalar kl_discharged @ st 1,1,0.7232,0.5779867980295568,0.856694271911663,0.6363636363636364,0.3076923076923077,0.8545493395493394,0.542,1,winner_unstable (winner_stability=0.54; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
gemma-3-1b-it-4bit,R1,scalar kl_discharged @ st 1,-1,0.6752,0.5066602564102564,0.8141233766233765,0.546875,0.23333333333333334,0.7888888888888889,0.4265,3,wide_ci (95%% CI width=0.31; >0.30 implies n too small); oob_low_auroc (oob_median=0.547; <0.60 means the cell selection didn't generalize beyond the calibration sample); winner_unstable (winner_stability=0.43; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
gemma-3-1b-it-4bit,R2,Centered r=2 @ st 1,1,0.6144,0.4516653225806452,0.7718035176453024,0.45999999999999996,0.1998611111111111,0.6884334415584409,0.246,5,low_auroc (best=0.614; <0.65 likely not deployable); wide_ci (95%% CI width=0.32; >0.30 implies n too small); oob_low_auroc (oob_median=0.460; <0.60 means the cell selection didn't generalize beyond the calibration sample); large_oob_in_sample_gap (in_sample=0.614, oob_median=0.460, gap=0.154; in-sample AUROC is materially over-stated by selection bias); winner_unstable (winner_stability=0.25; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
gemma-3-1b-it-4bit,R3,Fisher r=2 @ st 3,-1,0.6416,0.4903066638370119,0.7886078676470588,0.5,0.2222222222222222,0.75,0.4115,3,low_auroc (best=0.642; <0.65 likely not deployable); oob_low_auroc (oob_median=0.500; <0.60 means the cell selection didn't generalize beyond the calibration sample); winner_unstable (winner_stability=0.41; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
gemma-3-4b-it-4bit,R1,Centered r=4 @ st 1,1,0.6000000000000001,0.44311759615384616,0.7468045491143317,0.4444444444444444,0.17857142857142855,0.6515219155844155,0.2545,5,low_auroc (best=0.600; <0.65 likely not deployable); wide_ci (95%% CI width=0.30; >0.30 implies n too small); oob_low_auroc (oob_median=0.444; <0.60 means the cell selection didn't generalize beyond the calibration sample); large_oob_in_sample_gap (in_sample=0.600, oob_median=0.444, gap=0.156; in-sample AUROC is materially over-stated by selection bias); winner_unstable (winner_stability=0.25; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
gemma-3-4b-it-4bit,R2,Fisher r=2 @ st 3,1,0.6983333333333333,0.5484610598741033,0.8384611118694967,0.5857142857142856,0.28121875,0.824097222222222,0.526,2,oob_low_auroc (oob_median=0.586; <0.60 means the cell selection didn't generalize beyond the calibration sample); winner_unstable (winner_stability=0.53; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
gemma-3-4b-it-4bit,R3,Raw r=2 @ st 4,1,0.6483333333333334,0.48921440489432705,0.7982772988505747,0.5375,0.2678571428571429,0.7400416666666665,0.3575,4,low_auroc (best=0.648; <0.65 likely not deployable); wide_ci (95%% CI width=0.31; >0.30 implies n too small); oob_low_auroc (oob_median=0.537; <0.60 means the cell selection didn't generalize beyond the calibration sample); winner_unstable (winner_stability=0.36; a different panel cell wins on >30% of bootstrap resamples — the chosen cell is noise-driven at this n)
