sample_id,contradiction,chain_length,tok_step1,tok_step2,top1_p_step1,top1_p_step2,entropy_step1,entropy_step2,jsd_step1_step2,kl_step1_step2,kl_step2_step1
0,False,5,"
",An,0.9940153956413269,0.9665334820747375,0.04310466721653938,0.18369311094284058,0.6279377937316895,3.5691683292388916,9.752650260925293
1,False,5,"
",An,0.9938955903053284,0.9428725838661194,0.044526729732751846,0.26663094758987427,0.5915431976318359,2.989123821258545,9.351862907409668
2,True,2,"
",An,0.9956660270690918,0.9837217926979065,0.03174293786287308,0.106685109436512,0.6589915752410889,4.386427402496338,9.926465034484863
3,False,5,"
",An,0.993574321269989,0.9754993915557861,0.044966183602809906,0.14615461230278015,0.6444413661956787,3.940870523452759,9.772212982177734
4,False,2,"
",An,0.9967381358146667,0.9858729839324951,0.02626103162765503,0.09389537572860718,0.662322610616684,4.51316499710083,10.364144325256348
5,True,5,"
",An,0.9906814694404602,0.9389315843582153,0.0608169287443161,0.2882981300354004,0.5881417989730835,2.9448447227478027,8.713220596313477
6,False,5,"
",An,0.9927077889442444,0.9570471048355103,0.05071297287940979,0.21615874767303467,0.6119078397750854,3.2836339473724365,9.433838844299316
7,False,5,"
",An,0.9931632280349731,0.9525559544563293,0.04855070263147354,0.23168985545635223,0.6051373183727264,3.1801626682281494,9.320079803466797
8,False,2,"
",An,0.9976962208747864,0.9898641705513,0.019870176911354065,0.07044071704149246,0.6698557436466217,4.854861259460449,10.817388534545898
9,False,5,"
",An,0.991534411907196,0.9615110754966736,0.05747091770172119,0.20610009133815765,0.6216748356819153,3.4496989250183105,9.398541450500488
10,True,2,"
",An,0.9955924153327942,0.9809697866439819,0.03200472146272659,0.1201438158750534,0.6538627445697784,4.210141181945801,9.830836296081543
11,True,2,"
",An,0.9963129162788391,0.982727587223053,0.028331540524959564,0.10913926362991333,0.656158447265625,4.287662982940674,9.915145874023438
12,True,2,"
",An,0.9964501857757568,0.9871575236320496,0.02682451717555523,0.08350077271461487,0.6632539331912994,4.548954010009766,10.097241401672363
13,True,5,"
",An,0.9925326704978943,0.9344478249549866,0.05031538009643555,0.30727899074554443,0.5836592018604279,2.8878581523895264,8.89664077758789
14,False,2,"
",An,0.9968942403793335,0.9884313344955444,0.025259725749492645,0.0801149532198906,0.6674357950687408,4.7369065284729,10.799214363098145
15,False,2,"
",An,0.9963799118995667,0.9784889221191406,0.028919629752635956,0.1319086104631424,0.6494136452674866,4.076016902923584,10.209781646728516
16,True,5,"
",An,0.9929636120796204,0.9236313104629517,0.04879792779684067,0.3532361686229706,0.572677731513977,2.760286808013916,8.64372444152832
17,True,2,"
",An,0.9971798658370972,0.9682977199554443,0.022677764296531677,0.1795130968093872,0.6327731013298035,3.665109634399414,10.052094459533691
18,False,5,"
",An,0.9939584732055664,0.939825177192688,0.044555872678756714,0.27960410714149475,0.5881342887878418,2.9463107585906982,9.203611373901367
19,True,2,"
",An,0.9959477782249451,0.9506153464317322,0.03163070231676102,0.2528470456600189,0.6065621078014374,3.1989212036132812,9.4234037399292
20,True,5,"
",An,0.9940915703773499,0.9414353370666504,0.042004816234111786,0.2895892858505249,0.595203697681427,3.0362725257873535,9.062762260437012
