sample_id,contradiction,chain_length,next_token_id,next_token_decoded,dh_pre_l2,dh_post_l2,dh_jn_l2,cos_dh_pre_post,cos_dh_jn_post,cos_fisher_raw_top1,nr_fisher_pre_r1,nr_fisher_post_r1,nr_fisher_jn_r1,nr_raw_pre_r1,nr_raw_post_r1,nr_raw_jn_r1,nr_fisher_pre_r2,nr_fisher_post_r2,nr_fisher_jn_r2,nr_raw_pre_r2,nr_raw_post_r2,nr_raw_jn_r2,nr_fisher_pre_r3,nr_fisher_post_r3,nr_fisher_jn_r3,nr_raw_pre_r3,nr_raw_post_r3,nr_raw_jn_r3,nr_fisher_pre_r4,nr_fisher_post_r4,nr_fisher_jn_r4,nr_raw_pre_r4,nr_raw_post_r4,nr_raw_jn_r4,nr_fisher_pre_r5,nr_fisher_post_r5,nr_fisher_jn_r5,nr_raw_pre_r5,nr_raw_post_r5,nr_raw_jn_r5,nr_fisher_pre_r8,nr_fisher_post_r8,nr_fisher_jn_r8,nr_raw_pre_r8,nr_raw_post_r8,nr_raw_jn_r8,nr_fisher_pre_r13,nr_fisher_post_r13,nr_fisher_jn_r13,nr_raw_pre_r13,nr_raw_post_r13,nr_raw_jn_r13,nr_fisher_pre_r16,nr_fisher_post_r16,nr_fisher_jn_r16,nr_raw_pre_r16,nr_raw_post_r16,nr_raw_jn_r16,nr_fisher_pre_r21,nr_fisher_post_r21,nr_fisher_jn_r21,nr_raw_pre_r21,nr_raw_post_r21,nr_raw_jn_r21,nr_fisher_pre_r32,nr_fisher_post_r32,nr_fisher_jn_r32,nr_raw_pre_r32,nr_raw_post_r32,nr_raw_jn_r32
0,False,2,22559, Answer,54.36056137084961,82.07701873779297,60.56658935546875,0.9677999019622803,0.8884822726249695,0.27925254934939253,0.990162592513998,0.9931172699425714,0.9989446029822852,0.9999884166710526,0.9999922563878971,0.9997877640417905,0.9853349843129768,0.9912134301217128,0.9984793381542708,0.9999042717661398,0.9998603866426315,0.9987945817594771,0.9842554937734624,0.9905986628416169,0.9983046419642974,0.9974654665579741,0.9993468418503929,0.9983819368868787,0.9829660317043555,0.9903567291573652,0.9972672883667109,0.9974654315209848,0.9991764542361986,0.9980587453755385,0.9810981594962945,0.9894997717534718,0.9970414860191588,0.9939570767963601,0.9958578383677411,0.9954520734321323,0.9654604101825801,0.9812489589287049,0.9954733398863647,0.9748992937381945,0.9836781993429096,0.9869945697899781,0.9582030735815508,0.9768070066812408,0.9947805758786902,0.9624272654387951,0.9773945695890986,0.9833200105193126,0.9552368396265773,0.9762608446787623,0.9930983971604267,0.9578023309051353,0.972892934520407,0.975807965857663,0.9545937230054367,0.9750359304926964,0.9868829225661637,0.9570243805178008,0.9718481031048338,0.9728485571800507,0.9498022194842823,0.9695106262046052,0.9750064460711861,0.949628385007669,0.966814107454084,0.9685184722053243
1,True,2,22559, Answer,52.53584289550781,80.84852600097656,61.392967224121094,0.9731621742248535,0.8936551213264465,0.28681596440098106,0.9923355016179739,0.994563583092351,0.9991165244708319,0.9999998083285682,0.9999926176309459,0.9997897797353449,0.9875676490369873,0.992675811777829,0.9985131477869248,0.9998627311618964,0.9990464954384906,0.9975016380785854,0.9874303653212266,0.9925322169334204,0.9984934580487584,0.9988045943646207,0.9989668647096183,0.9964017087170628,0.9854212497253652,0.9917620393136811,0.9978113228093063,0.9987252332759533,0.9985649063553511,0.995690045617584,0.9852595529805651,0.9917486614376009,0.9974617060588656,0.9947649648023452,0.9950649785283133,0.9929951026748107,0.9687263522909866,0.9822326691826664,0.9960502654673052,0.9757125545052406,0.983186586709227,0.9850381186132497,0.9609957506161457,0.9784565409044219,0.9935535619659982,0.9643527852065622,0.9772629752294265,0.981407585612445,0.9603174710031305,0.9780328572671974,0.9920280094669465,0.9607392540222784,0.9733085671903801,0.9741143832312015,0.9591747813742072,0.9767767376848133,0.9875856316873886,0.9601957105672104,0.9723928994245862,0.9712864294510105,0.9545779910577155,0.9707028675927155,0.9745487549041173,0.9530118887874461,0.9672176038385261,0.9665209989797816
2,True,2,22559, Answer,52.7105712890625,80.2569808959961,60.922019958496094,0.9723384976387024,0.8950058221817017,-0.28506874546295435,0.991052302641235,0.9936968295908363,0.9989484652156654,0.9999971217271161,0.9999990977297321,0.9997751298529178,0.9863988230683184,0.9918901110720454,0.9984203273083307,0.9999920978894804,0.9996998600980211,0.9984428538945022,0.986327370803084,0.9917930226739691,0.998412698408784,0.9980720431543565,0.999348347301488,0.9978655961057818,0.9843387131231034,0.9909953459433178,0.9978200082548241,0.9980305289360468,0.9990142997077013,0.9972202574742886,0.9834623331453538,0.990275671082638,0.9976304838068095,0.9939715295441048,0.9955069026041286,0.9946216407312337,0.9659160584579268,0.9807576814917006,0.9961575540494463,0.9746693355755705,0.9834895075337421,0.986390878605036,0.958573177686858,0.9771317165301787,0.9933741798290111,0.963395448639665,0.9775703024734259,0.9827727470132052,0.9570148958151086,0.9763158666578038,0.9926757980219021,0.9596485571665716,0.9736196223352436,0.9755476006829288,0.9561801106538257,0.9745723371273388,0.9856427111690961,0.9590739876571392,0.9727207102797667,0.9728011618442397,0.9520574776069974,0.9715584127133081,0.9821241513429702,0.9519493106961624,0.9676391157436004,0.9679815705164683
3,True,5,22559, Answer,52.363525390625,78.919921875,59.50434875488281,0.9710431098937988,0.899615466594696,0.27680731324284497,0.9895583559112288,0.9932327917861312,0.9991706847292657,0.9998869490613039,0.9999767876034956,0.9996878023937399,0.9848453411582659,0.9915529101833486,0.9986770408015955,0.9998855316254235,0.9995033116207667,0.9977391000960762,0.9848183987466963,0.9914941129563007,0.998673667279379,0.9985234858282999,0.9993814386904836,0.9965878718380249,0.9834765727421572,0.9909273160699621,0.9981991826244813,0.9983352059219565,0.9987234324915863,0.9954594170962179,0.971955341304679,0.9851623578757903,0.9980417258600248,0.9926134437397168,0.9941049563855608,0.9919948011157816,0.9665682697061542,0.9832361015044921,0.997264340723769,0.9710421520866401,0.9809412082232026,0.9838029640765578,0.9537451745111488,0.9746833689253305,0.994234824533159,0.9591541340646008,0.9748812405812669,0.9805631748476797,0.9510357628031847,0.9734235274936073,0.9934755735225673,0.9553275929420697,0.97066498473289,0.972841802529976,0.94961565511775,0.9721554911966656,0.988440774701632,0.9549342194241932,0.9699613477382699,0.970281320655533,0.9460199507272835,0.9692728289204736,0.9849773553219215,0.9470969956468676,0.9643081209105078,0.9653608564326291
4,False,5,22559, Answer,53.17671585083008,79.01007080078125,58.76604080200195,0.9678276777267456,0.8988757729530334,-0.2765966719155154,0.989877617303127,0.9936027955866276,0.9992808412053303,0.9999194834185144,0.9999793587727088,0.9996875504675125,0.9841432102773172,0.9914835933785705,0.9989700865022967,0.999916744840671,0.999631303863306,0.9980125803579599,0.9841231587190254,0.9914313011545131,0.9989662820433919,0.997684229245456,0.9992689885238565,0.9973632030608802,0.9821060854910666,0.9905736523748335,0.9985680635275461,0.9976347566937862,0.9988568209752542,0.9966073412384152,0.9701051555951102,0.9845881183476447,0.9985283299303475,0.991115427456294,0.9935938129931206,0.9927310658813726,0.9612195681118096,0.9808094569402074,0.9981326532940887,0.9687942030663905,0.9800354451728354,0.9844696532494912,0.9502565896320025,0.9731841752228236,0.9942763301377517,0.9557833114345988,0.9730035954972006,0.9803225189925544,0.9479901566752178,0.9728240300680163,0.9927914490671964,0.9517646616598545,0.9687695754335265,0.9728218496998706,0.9464020656762439,0.9707270020871009,0.9887342797798291,0.9514153395418551,0.9681464639511433,0.9703502138933945,0.9422142927323106,0.9679357343945216,0.9850863393746923,0.9435528317624987,0.9623715740611745,0.9650100789586038
5,False,2,22559, Answer,53.47706604003906,80.86143493652344,60.49384307861328,0.9695706963539124,0.8917624354362488,0.2839377763309673,0.9908825113706752,0.9935825180912832,0.9989771060958503,0.9999970775030047,0.9999998505071549,0.9997102861688046,0.9857084915483739,0.9914472743703524,0.9986064785746054,0.9999515854657574,0.999813744653494,0.9987011296985538,0.9847667718326827,0.9908433064166446,0.9984928001617775,0.9974590951285968,0.9991947758257603,0.9984433768225881,0.9833461712246775,0.9904698347111538,0.9977732543700469,0.99745406001582,0.9989816227483644,0.9980640332707131,0.9791482181496912,0.9885647494519645,0.9975526398099149,0.9937541418688071,0.9955476913750363,0.9953865429966191,0.9663054013888466,0.9814390039455672,0.9960498722477198,0.9747012337136813,0.9834324192050682,0.9867234663875231,0.9577309579768973,0.9765598899556018,0.9952393248455633,0.9617442988315849,0.9765954284675694,0.9826024068827862,0.9563293759344458,0.9764212743612329,0.9928025067924604,0.957792566843498,0.9723177537760185,0.974833105304147,0.9549952339733933,0.9738352323129777,0.9854393792849881,0.9571277739955606,0.9713888290556656,0.9719856734989525,0.9491785374365449,0.9676510711166291,0.9729063906131292,0.9498277649852547,0.9663335363881196,0.9670071222797799
6,True,5,22559, Answer,52.109378814697266,79.3168716430664,59.731788635253906,0.970665454864502,0.8983312249183655,-0.2741789184123944,0.989546194923889,0.993287911006859,0.9992300798084908,0.9998389351007201,0.9999666807706352,0.9996725240352995,0.9838634804479744,0.9910699506712028,0.9989191338023252,0.9998387886537843,0.9995863800887189,0.9978664590848658,0.9838605818357258,0.9910310031953075,0.9989093273679576,0.9979475059207373,0.9993160502139933,0.9970309831717854,0.9824275402378103,0.9903838327012469,0.9984294878683773,0.9978899880364398,0.9989153759067129,0.9962391933696247,0.9710499180963656,0.9845066852498001,0.9983550467171144,0.9913931188229199,0.9938246164616578,0.9925134426691679,0.9645595882504924,0.9818453327239277,0.9974652322497545,0.970572077796639,0.9811800874968268,0.9847917971617492,0.9504212285009914,0.9724338093243949,0.994255027993574,0.9588125073110323,0.974964774574133,0.9813445252361335,0.9489784319832012,0.9721777224528726,0.9932275474210338,0.9551872218587762,0.9709450280854498,0.9739625268209066,0.946857217292276,0.9703779706837392,0.9878895853158158,0.95479568941714,0.9702337384006834,0.9714605734615049,0.9428190766224509,0.9673521408199549,0.9855934162649403,0.9473996816106927,0.9649559451995957,0.9668283127880748
7,False,5,22559, Answer,53.13395690917969,79.41874694824219,59.95337677001953,0.9703788757324219,0.8979402184486389,-0.2753172796768688,0.9902637399372293,0.9937385897567197,0.999303533133796,0.9999581602671487,0.9999977250480886,0.9997533677717727,0.9849932472912069,0.9916795595231415,0.9989764548281739,0.9999498428959243,0.9997430016295096,0.9984277218121385,0.9849314359675323,0.9915532025288046,0.9989589780880194,0.9976723688935598,0.9993296697634511,0.9978997224987499,0.9831471880547255,0.9908240714358174,0.9983468416508952,0.9976554789856825,0.9990470568815903,0.9973156602814712,0.9774145604205017,0.9877664980545404,0.9983466406026362,0.9919913522081604,0.994496636596722,0.9940738018958768,0.9649351793699555,0.9822042456988357,0.997527804036187,0.9721290553544779,0.9822054670069431,0.9859919857069319,0.9543539712502614,0.9752647134264419,0.99404097767933,0.9599738045485314,0.9757214109342103,0.982204644031689,0.9538951541369203,0.9752254253665164,0.9918871976929866,0.9565248604851225,0.9719329565375122,0.974979021686193,0.9516075305895296,0.9725447334560822,0.9869743007883051,0.9561966229672065,0.9713162267547103,0.9726431693156349,0.9478156572301095,0.9701136462035042,0.9842040435738105,0.9490201384739417,0.9662173073835503,0.9678597211462545
8,False,2,22559, Answer,52.703243255615234,80.93512725830078,60.99273681640625,0.9715307950973511,0.8924798369407654,0.28295210164617096,0.9906584699357401,0.9933138552303824,0.9988717662647584,0.9999963553730227,0.9999998445865276,0.9997037735575965,0.9856113502934899,0.9912346765825497,0.9984865013162225,0.9999932931029566,0.999642065802568,0.9982140107506672,0.9847571764129944,0.990672359746991,0.9983841515620702,0.9982074728045623,0.9993154454286086,0.997648566189348,0.9830795285371345,0.9900983282874531,0.9978922145672913,0.9981786252826501,0.9990438092370709,0.9972271641385723,0.982771816036715,0.9899638043673962,0.9977100179053361,0.9942890908370912,0.9955728672816144,0.9944952340182661,0.96531911095576,0.9802090777459369,0.9969517783842683,0.9753992687828084,0.9837871285276606,0.9866304570582677,0.9566799263448573,0.9755175139396636,0.9943121171413437,0.9633244278509339,0.9773922455013287,0.9829060168203323,0.9562937970799531,0.9753927038691338,0.9915872217826115,0.9594738133233395,0.9733927178366132,0.975604295808098,0.9542794492282257,0.9728672643545718,0.9866978692900716,0.9588044210300792,0.9725117684578655,0.9729682957825049,0.9502143040046105,0.9690919957863751,0.9773056440144207,0.9511915438580187,0.9670864009257558,0.9685815809943563
9,True,5,22559, Answer,52.373878479003906,78.55792236328125,59.367347717285156,0.9696581959724426,0.9001835584640503,0.27551978239848834,0.9892700139368891,0.9930485695256913,0.99908197254767,0.9998776705462415,0.9999724851611843,0.999688329012147,0.9834311792274517,0.9907469349986647,0.9988220046899107,0.9998532158300358,0.9997443627692182,0.9982466967486917,0.9834249089940726,0.9907010377286648,0.9988162319629624,0.9975299346118244,0.9993706882915397,0.9976021200276235,0.9814208999494891,0.9898075537024447,0.99844161754987,0.9975162277771553,0.999036009219119,0.9968751008557785,0.9679055226261619,0.9830719798689059,0.9983804669217597,0.9913190579124249,0.9941232119319376,0.9934152660418267,0.9637072940425567,0.98138983580212,0.9975362719276357,0.9695224242138962,0.9807193778599181,0.9852594758904838,0.9504227450135578,0.9725829582601289,0.9943805135070481,0.9575615551329113,0.9742555343118148,0.9814756454616655,0.9481453079131617,0.9718802834615612,0.9936212693089583,0.9535121301723359,0.9697697224877889,0.9735019720751603,0.946755195728799,0.9700738129282495,0.9873407289465028,0.953166327881224,0.9691968778291875,0.9712516817947885,0.9415252069535957,0.9664344119567987,0.9842025299706791,0.9451615689263728,0.9632666769116959,0.9658808763717969
