pair_id,chain_length,subject,target,ctrl_top1_decoded,contr_top1_decoded,kl_ctrl_to_contr,kl_contr_to_ctrl,jsd,hellinger,fisher_rao,total_variation,bhattacharyya_coef,ctrl_top1_id,contr_top1_id,same_top1_token,p_ctrl_top1_prob,p_contr_top1_prob
0,2,Rell1762,vask, Answer, Answer,0.005831473972648382,0.005401568487286568,0.001397793530486524,0.03742923417331406,0.10587822446849832,0.03546770289540291,0.9985990524291992,22559,22559,True,0.44776013493537903,0.4382009506225586
1,2,Tovin4617,zenith, Answer," 
",0.011431107297539711,0.011414511129260063,0.002851761062629521,0.0534205127507791,0.15113198291271437,0.07273726910352707,0.9971462488174438,22559,720,False,0.4271456003189087,0.37313467264175415
2,2,Tovin0112,glorp, Answer, Answer,0.004833601880818605,0.004799437243491411,0.001202360086608678,0.034690312451967575,0.09812886321816917,0.0430559404194355,0.9987965822219849,22559,22559,True,0.4480351507663727,0.4184417724609375
3,2,Sema5924,quorin, Answer, Answer,0.008080467581748962,0.007504152599722147,0.0019387485226616263,0.044084793835815844,0.12471082987423382,0.04055143892765045,0.9980565309524536,22559,22559,True,0.3942963480949402,0.3926418125629425
4,2,Pavo1506,vask, Answer, Answer,0.010061136446893215,0.009483011439442635,0.002431211993098259,0.04937016040889526,0.13966827975927726,0.05290428549051285,0.9975625872612,22559,22559,True,0.46199488639831543,0.44115349650382996
5,2,Drax4555,prax, Answer, Answer,0.008453940972685814,0.008419782854616642,0.002106261672452092,0.045908825287277966,0.12987258369594026,0.060901448130607605,0.9978923797607422,22559,22559,True,0.43781983852386475,0.38952556252479553
6,2,Rell1137,krel, Answer, Answer,0.004960892256349325,0.0047627887688577175,0.0012122233165428042,0.03483861911099921,0.09854846459391323,0.03799353539943695,0.9987862706184387,22559,22559,True,0.46776753664016724,0.44936126470565796
7,2,Sema3595,vask, Answer, Answer,0.002768042730167508,0.0026353313587605953,0.0006737590592820197,0.02597316633696922,0.07346733869957338,0.02604885771870613,0.9993253946304321,22559,22559,True,0.42952820658683777,0.4199165105819702
8,2,Rima1753,blen, Answer, Answer,0.004087516572326422,0.004037763457745314,0.0010145810665562749,0.0318601177104684,0.09012164551953754,0.04130111634731293,0.9989849328994751,22559,22559,True,0.44254231452941895,0.4134204387664795
9,2,Rell2864,dorin, Answer, Answer,0.0032109941821545362,0.003031863132491708,0.000778058310970664,0.02791436048253088,0.0789588620627409,0.027827579528093338,0.9992207884788513,22559,22559,True,0.4097025692462921,0.3985034227371216
