sample_id,contradiction,chain_length,next_token,dh_jn_l2,signed_proj_raw_top1,signed_proj_raw_top2,signed_proj_raw_top3,abs_proj_top1_over_l2
0,False,2, Answer,60.56658935546875,1.247770043358924,-2.6984142606089745,1.738719682476797,0.020601623050517683
1,True,2, Answer,61.392967224121094,1.2587749321278534,-4.150312476006047,2.8751007825177455,0.02050356887834596
2,True,2, Answer,60.922019958496094,1.2919055918916111,-3.143350585618882,2.0681070629044056,0.021205888983484425
3,True,5, Answer,59.50434875488281,1.4867727396570598,-3.7124182800674177,2.8511995148931417,0.024985950955938484
4,False,5, Answer,58.76604080200195,1.468917630121738,-3.3993439712623,2.115374824794116,0.024996028489794014
5,False,2, Answer,60.49384307861328,1.456060197792225,-2.7166449412690117,1.3725168357217012,0.02406956020131885
6,True,5, Answer,59.731788635253906,1.5285324900946313,-3.5877306739572092,2.438556223774441,0.02558993335066359
7,False,5, Answer,59.95337677001953,1.33145588246015,-3.0856370995316373,1.9464632859957547,0.022208188332166486
8,False,2, Answer,60.99273681640625,1.4844749232486654,-3.327556905951842,2.0489834674659715,0.02433855243640956
9,True,5, Answer,59.367347717285156,1.482098240219355,-3.1861452738060634,2.1293584516841157,0.024964872058539627
10,False,2, Answer,60.49714279174805,1.2101546113595385,-2.767448006228178,1.744112467988308,0.020003500256587425
11,True,5, Answer,59.283973693847656,1.6093869949842143,-3.143767103858162,2.300149552931547,0.027147083683908283
12,True,2, Answer,61.92177963256836,1.257696570315224,-2.670616958076634,1.4919864214287788,0.020311053360806432
13,False,2, Answer,61.233158111572266,1.3116981277082052,-2.8979229683985332,2.0041969328234153,0.021421369861669263
14,True,2, Answer,61.277530670166016,1.3928956093409246,-3.0779487697175782,2.0583730404680964,0.02273093569706793
15,False,2, Answer,61.032066345214844,1.300013995574329,-2.8664885856519535,1.5954270286310517,0.021300507641654268
16,False,5, Answer,60.39923858642578,1.3404808113437494,-3.714391816765449,2.538061353334838,0.022193670693769173
17,True,2, Answer,60.44283676147461,1.3487111271472674,-3.026414260681051,1.9814206868114967,0.022313829055830896
18,False,2, Answer,61.714725494384766,1.2839537946654234,-2.611584222500138,1.3315910138284222,0.02080465860259179
19,False,5, Answer,59.534786224365234,1.3751284924827147,-3.3054410150832148,1.834826968970932,0.023097899223120402
20,False,2, Answer,61.746612548828125,1.1018989117120093,-3.59911297853454,2.248788422201482,0.017845495748270605
21,False,5, Answer,59.06637191772461,1.372202772040203,-2.6776459915838995,1.6725900063591106,0.023231539833685127
22,False,5, Answer,60.35004806518555,1.235018686573743,-3.7553281296597656,2.6834900141851477,0.020464253570067134
23,True,5, Answer,60.53647994995117,1.1402579927127117,-3.571706814437742,2.4303397993784,0.018835881994683897
24,False,2, Answer,61.28660202026367,1.2797625291472292,-2.8319932471957854,1.6281992800045597,0.020881603596198776
25,False,2, Answer,60.11778259277344,1.5562898761496669,-2.9464022924163182,2.199299452721536,0.025887346622364523
26,False,2, Answer,60.8355827331543,1.2573382413810605,-2.7271365387862225,1.6783750878688233,0.020667809608960433
27,True,5, Answer,59.39228820800781,1.3459755222089402,-3.038089569808704,2.402726877732174,0.02266246280144494
28,True,2, Answer,62.07646560668945,1.0166104570891608,-3.531032415682529,2.2313138246945967,0.01637674515054819
29,False,5, Answer,60.88406753540039,1.2253082262552037,-4.129464359242871,2.736982402741609,0.020125268824076985
30,False,5, Answer,60.16633605957031,1.1994449593696555,-3.8198605120428355,2.2689782699225196,0.019935482828472368
31,False,5, Answer,59.000614166259766,1.4830424267745934,-3.000307762420025,1.8552484641365004,0.025136050661997617
32,True,2," 
",73.92799377441406,2.553140053152852,-8.669206788410895,4.114730104217915,0.034535497621376296
33,True,2, Answer,59.36466979980469,1.5659915916334568,-2.9051176258493747,1.7894364143867123,0.02637918473920276
34,True,2, Answer,60.1700553894043,1.397900673307776,-2.689184576499475,1.8913616173649,0.023232497697710568
35,True,2, Answer,61.09815216064453,1.4378403128077415,-2.9908298113192058,1.9707256551386458,0.023533286391786357
36,True,5, Answer,60.42289352416992,1.1859090892125415,-3.6412032246037485,2.897280994506475,0.01962681725489032
37,True,5, Answer,59.137081146240234,1.4508806403615142,-3.233574982556905,2.381021321451942,0.024534194319993142
38,False,5, Answer,59.311283111572266,1.3133139215944434,-3.789270760249338,2.529680351092503,0.022142733265805667
39,False,5, Answer,58.805118560791016,1.3539564655996283,-3.1907689439965763,1.770669288222864,0.02302446621543064
40,False,2, Answer,61.2984733581543,0.9691795370627918,-3.420218752405603,2.1151343008340264,0.015810826664450436
41,False,5, Answer,59.86100769042969,1.276862182534957,-3.7591931111355867,2.311011630669322,0.021330449182147045
42,False,5, Answer,59.572998046875,1.231380640161564,-3.0067083644734183,1.8977264402683862,0.02067011365099647
43,False,5, Answer,60.28861618041992,1.3391344581544848,-3.340342743121949,1.9870745439850448,0.022212061629425447
44,False,5, Answer,59.30989074707031,1.3737091658305385,-3.870540734042141,2.497267221539314,0.023161552795409227
45,True,5, Answer,59.90533447265625,1.2899388821043067,-3.58233914382395,2.6439220477443373,0.021532955177655258
46,True,5, Answer,59.87110137939453,1.179765522474485,-3.9306733827878957,2.9387961811934806,0.019705091359460896
47,False,2, Answer,61.078147888183594,1.2579931767360326,-3.5930599050948775,2.0014301440084914,0.020596452581322443
48,True,5, Answer,60.354469299316406,1.1809139995569105,-3.485608255117299,2.326028993606483,0.019566305747772173
49,True,5, Answer,59.41144561767578,1.4430260072532684,-3.665405057659211,2.570945133818653,0.024288687007163447
50,True,5, Answer,58.97488784790039,1.3792945956419103,-2.7930128272619017,2.179961146266792,0.023387829056951342
51,False,5, Answer,59.21187973022461,1.5169228740521123,-3.8520509354444474,2.4838619281327814,0.025618556292433318
52,True,2, Answer,60.76171112060547,1.1754392157133853,-3.0914615899008835,2.074624865959639,0.01934506441693734
53,False,5, Answer,59.53999710083008,1.4282112194300725,-3.454884781249371,2.026813484390607,0.023987425075097327
54,False,5, Answer,59.02151107788086,1.5822015422947135,-3.100117779461603,1.959623326339559,0.026807201533763935
55,True,5, Answer,59.600746154785156,1.2383142826804967,-3.5369982041141945,2.415938045107474,0.020776825166961416
