sample_id,contradiction,chain_length,next_token,dh_jn_l2,signed_proj_raw_top1,signed_proj_raw_top2,signed_proj_raw_top3,abs_proj_top1_over_l2
0,False,2,"
",101.42536926269531,-6.131414895791631,-6.709205267112534,-6.462773849011394,0.0604524779190599
1,True,2,"
",98.284912109375,-6.347108388141334,-6.112079754683004,-6.041424432907725,0.06457866474023585
2,True,2,"
",97.96369171142578,-6.4832831666942825,-6.302486336187766,-5.770325734491124,0.06618047006421156
3,True,5,"
",103.13921356201172,-6.142472236655014,-6.316273575151148,-6.331268205022114,0.059555158746250676
4,False,5,"
",106.09123229980469,-5.433618685868314,-6.956731334460594,-6.72741438312108,0.05121647254042873
5,False,2,"
",107.09939575195312,-6.747084269682743,-7.442976016545952,-6.490819705333946,0.06299834114193309
6,True,5,"
",105.36601257324219,-6.129073177389365,-6.56070234597386,-6.2132401582434795,0.05816935677548866
7,False,5,"
",108.86856079101562,-5.692887406872089,-7.287167697605247,-7.393646252917164,0.05229138114349597
8,False,2,"
",103.09772491455078,-6.73112932956578,-7.219529066318298,-6.285707987346277,0.06528882509423103
9,True,5,"
",110.33518981933594,-6.3322852116177994,-7.1451185951714145,-6.69555440142194,0.0573913474203526
10,False,2,"
",108.5807876586914,-6.433190139411343,-7.227237556713918,-6.913067937115455,0.05924795977376086
11,True,5,"
",103.56652069091797,-5.802286999867272,-6.421553504601004,-6.190095405685211,0.05602473619035546
12,True,2,"
",98.35806274414062,-6.469492541078396,-6.26392587389555,-5.210531067927457,0.06577490813235053
13,False,2,"
",107.82536315917969,-7.1019335858311505,-7.421413402574934,-6.62036616799864,0.06586514877153875
14,True,2,"
",100.76905059814453,-6.072338595309781,-6.305910243563455,-5.369718138969819,0.06025995639791773
15,False,2,"
",109.01324462890625,-6.826834245261521,-7.355914585725488,-6.805456546283613,0.06262389738508009
16,False,5,"
",102.06285095214844,-5.2069053730916215,-6.435062529586758,-6.05141423774361,0.05101665615364543
17,True,2,"
",98.15851593017578,-6.432696002950201,-6.281816183907281,-5.84218617280938,0.06553375366350782
18,False,2,"
",106.056640625,-6.923490964337359,-7.63792339745539,-6.245462964191452,0.06528106984654768
19,False,5,"
",102.56414794921875,-5.457194579045215,-6.649769584590067,-7.222762417825608,0.05320762360100572
20,False,2,"
",106.0323486328125,-6.856163379039446,-7.360318773972244,-7.291652392395888,0.06466105360709976
21,False,5,"
",100.34439086914062,-5.526033646257385,-6.549145046716045,-6.106692780602513,0.055070678075652406
22,False,5,"
",102.49541473388672,-5.391878691269721,-6.760080623280466,-6.295939496405054,0.05260604784383407
23,True,5,"
",106.47760009765625,-6.187131683849455,-6.917402975582797,-6.25364626919826,0.058107354769163636
24,False,2,"
",105.91842651367188,-6.697764813795505,-7.341204786418112,-7.246579499203643,0.06323512380468227
