sample_idx,label_B,gold_yes_no,p_yes,p_no,literal_decidedness,semantic_yes_mass,semantic_no_mass,semantic_decidedness,answerlike_nonliteral_mass,answerlike_over_literal_ratio,control_mass,decidedness_floor,literal_above_floor,semantic_above_floor,lean,top1_token_id,top1_decoded,top1_prob,top1_class,top1_nonliteral_token_id,top1_nonliteral_decoded,top1_nonliteral_prob,top1_nonliteral_class,top1_answerlike_nl_decoded,top1_answerlike_nl_prob,answerlike_exceeds_literal,answerlike_materially_exceeds_literal,top1_is_answerlike_nonliteral
0,1,NO,0.320302716227161,0.5912459086709987,0.9115486248981597,0.32038536051978006,0.591367082910339,0.9117524434301191,0.0002038185319593877,0.00022359589646921883,0.03554798324668243,0.17773991623341215,True,True,-0.6129654831466291,5782, NO,0.5871570110321045,literal,220, ,0.016398128122091293,control,,,False,False,False
1,0,YES,0.48837789212757343,0.44059200305474633,0.9289698951823198,0.4885117425866008,0.4406877462113892,0.92919948879799,0.00022959361567020942,0.00024714860714097664,0.040623401180186994,0.20311700590093495,True,True,0.10297019121961412,14410, YES,0.47965341806411743,literal,720," 
",0.02332734502851963,control, TRUE,0.00011321136844344437,False,False,False
2,0,YES,0.3547176694992231,0.5529334624879993,0.9076511319872225,0.3548149738563616,0.5530730688765102,0.9078880427328718,0.00023691074564935466,0.0002610152043006429,0.03158607216543367,0.15793036082716838,True,True,-0.44391549741043157,5782, NO,0.5477487444877625,literal,220, ,0.014147906564176083,control,,,False,False,False
3,0,YES,0.216969108455487,0.7492462779899824,0.9662153864454694,0.21703986833827563,0.7493986115700366,0.9664384799083122,0.0002230934628427994,0.0002308941318596878,0.013957014213090563,0.06978507106545281,True,True,-1.239312752474784,5782, NO,0.7436299920082092,literal,220, ,0.006484119687229395,control, FALSE,0.0001335263514192775,False,False,False
4,0,YES,0.4971398030565979,0.4504434631010099,0.9475832661576078,0.49729753601709165,0.4505195988519892,0.9478171348690809,0.0002338687114730731,0.00024680544689375573,0.018611661833758925,0.09305830916879462,True,True,0.09863870935528989,14410, YES,0.4897623360157013,literal,720," 
",0.007978358305990696,control, TRUE,0.00013835191202815622,False,False,False
5,0,YES,0.2989536626382687,0.6368775153292745,0.9358311779675432,0.2990788377817308,0.6370004938968217,0.9360793316785525,0.0002481537110092247,0.00026516931349537836,0.042074182758159245,0.21037091379079623,True,True,-0.756288766527055,5782, NO,0.6315965056419373,literal,220, ,0.020622357726097107,control, TRUE,0.00010653846402419731,False,False,False
6,0,YES,0.2779825866282408,0.6683952617150908,0.9463778483433316,0.2780963126211417,0.6685765292851809,0.9466728419063226,0.0002949935629909528,0.0003117080175823532,0.025617570689982577,0.1280878534499129,True,True,-0.877321233997153,5782, NO,0.65944904088974,literal,220, ,0.014231633394956589,control, FALSE,0.00014283070049714297,False,False,False
7,0,YES,0.4829859779201797,0.44937322022713033,0.93235919814731,0.4831622516541787,0.44949181652468795,0.9326540681788666,0.0002948700315565933,0.0003162622647393078,0.034643193814317935,0.17321596907158968,True,True,0.07213385409396311,14410, YES,0.47387370467185974,literal,720," 
",0.01837407797574997,control, TRUE,0.00014817346527706832,False,False,False
8,0,YES,0.3055206698791153,0.6289152746530817,0.934435944532197,0.30560121893487013,0.6290421780331985,0.9346433969680686,0.00020745243587161344,0.000222008193376454,0.029629994246057126,0.14814997123028562,True,True,-0.7219791136396907,5782, NO,0.6225769519805908,literal,220, ,0.013331334106624126,control, FALSE,0.00010258430847898126,False,False,False
9,0,YES,0.1691545120684168,0.7560446599288753,0.9251991719972921,0.16920288489892388,0.7561418990894291,0.925344783988353,0.00014561199106088996,0.00015738448051844575,0.02890349657749297,0.14451748288746485,True,True,-1.4972878785855006,5782, NO,0.7491797804832458,literal,220, ,0.013721706345677376,control,,,False,False,False
10,0,YES,0.34474212254190206,0.5639666124190512,0.9087087349609533,0.3448458645085034,0.5641348830309507,0.9089807475394541,0.0002720125785008465,0.0002993396762192835,0.030589681851353273,0.15294840925676637,True,True,-0.4921983852634395,5782, NO,0.5614199638366699,literal,220, ,0.0168214812874794,control,,,False,False,False
11,0,YES,0.48868016593769426,0.43572570463629745,0.9244058705739917,0.4888676801153492,0.43579545219058513,0.9246631323059343,0.0002572617319425985,0.0002782995436656594,0.03476539282412647,0.17382696412063234,True,True,0.11469529053391851,14410, YES,0.48325321078300476,literal,220, ,0.017194734886288643,control, TRUE,0.00016857126320246607,False,False,False
12,0,YES,0.4380831259950355,0.4928728767854409,0.9309560027804764,0.4381839902031373,0.49297352101552816,0.9311575112186654,0.0002015084381890575,0.00021645323472560936,0.029727463033829574,0.14863731516914785,True,True,-0.11784260662649672,5782, NO,0.4899989664554596,literal,220, ,0.018559202551841736,control,,,False,False,False
13,1,NO,0.033582004678237354,0.8909845711302182,0.9245665758084556,0.03360797508948474,0.8911172226047017,0.9247251976941865,0.0001586218857308752,0.0001715635086550406,0.03368568398726405,0.16842841993632024,True,True,-3.2783367624949045,5782, NO,0.883717954158783,literal,720," 
",0.014622705057263374,control, FALSE,0.00010653310164343566,False,False,False
