sample_idx,label_B,gold_yes_no,p_yes,p_no,literal_decidedness,semantic_yes_mass,semantic_no_mass,semantic_decidedness,answerlike_nonliteral_mass,answerlike_over_literal_ratio,control_mass,decidedness_floor,literal_above_floor,semantic_above_floor,lean,top1_token_id,top1_decoded,top1_prob,top1_class,top1_nonliteral_token_id,top1_nonliteral_decoded,top1_nonliteral_prob,top1_nonliteral_class,top1_answerlike_nl_decoded,top1_answerlike_nl_prob,answerlike_exceeds_literal,answerlike_materially_exceeds_literal,top1_is_answerlike_nonliteral
0,1,NO,0.40343888840834197,0.5857017269381695,0.9891406153465114,0.4034397444606411,0.5857027598810602,0.9891425043417014,1.8889951898810882e-06,1.9097337229644985e-06,4.115608156662683e-08,2.0578040783313414e-07,True,True,-0.3727856391125854,16071,NO,0.5766605734825134,literal,1438,**,0.004835593048483133,other,,,False,False,False
1,0,YES,0.7948241640415308,0.20091218472172453,0.9957363487632553,0.7948249607068745,0.2009125826181509,0.9957375433250254,1.1945617700220444e-06,1.1996767733805622e-06,2.542009153301232e-08,1.2710045766506161e-07,True,True,1.3752529922187837,51935,YES,0.7869018316268921,literal,1784,The,0.002794011728838086,other,,,False,False,False
2,0,YES,0.9403522261732498,0.05779939858162691,0.9981516247548766,0.9403527072633838,0.05779953060506857,0.9981522378684524,6.131135756096409e-07,6.142489381412445e-07,2.3582212215011208e-08,1.1791106107505604e-07,True,True,2.789276143294954,51935,YES,0.9339809417724609,literal,1438,**,0.0006843444425612688,other,Yeah,3.6973224837311136e-07,False,False,False
3,0,YES,0.06845034488275648,0.9264066264364493,0.9948569713192058,0.0684504829950351,0.9264070371121962,0.9948575201072313,5.487880255081095e-07,5.516250489559343e-07,1.6596421371698787e-08,8.298210685849393e-08,True,True,-2.6052046694844644,16071,NO,0.9158990979194641,literal,1784,The,0.002454765373840928,other,,,False,False,False
4,0,YES,0.25862846670475825,0.7276466983176598,0.9862751650224181,0.25862917225279114,0.7276472951919591,0.9862764674447503,1.3024223321937619e-06,1.3205466165866173e-06,1.0011964081150192e-07,5.005982040575096e-07,True,True,-1.034423085542943,16071,NO,0.7213931679725647,literal,1784,The,0.007767390459775925,other,,,False,False,False
5,0,YES,0.4846608066232818,0.5073298426004218,0.9919906492237036,0.48466172412779795,0.507330486312466,0.991992210440264,1.561216560272567e-06,1.573821851540959e-06,3.2861878734114655e-08,1.6430939367057326e-07,True,True,-0.045712090699983235,16071,NO,0.5020044445991516,literal,1438,**,0.005157665349543095,other,,,False,False,False
6,0,YES,0.9980981612096445,0.0014011541258299258,0.9994993153354744,0.9980983785556289,0.0014011846966382757,0.9994995632522672,2.4791679272479383e-07,2.480409830411764e-07,1.2138470029362844e-08,6.069235014681422e-08,True,True,6.56855535608435,51935,YES,0.9930561184883118,literal,1784,The,0.00024756358470767736,other,Yeah,1.4462008834925655e-07,False,False,False
7,0,YES,0.8059630316122863,0.19102463605030015,0.9969876676625865,0.8059643481770333,0.19102496387683415,0.9969893120538675,1.6443912810878677e-06,1.6493597006501628e-06,2.4901470840577987e-08,1.2450735420288994e-07,True,True,1.439635470679355,51935,YES,0.7902079820632935,literal,1784,The,0.0015254603931680322,other,Yeah,1.0500119742573588e-06,False,False,False
8,0,YES,0.8663949273145519,0.1310935844843406,0.9974885117988925,0.8663956130719357,0.13109379110976455,0.9974894041817002,8.923828076493644e-07,8.946296594835181e-07,2.1804679793028164e-08,1.0902339896514082e-07,True,True,1.888429387237038,51935,YES,0.8566297888755798,literal,1784,The,0.0009570791735313833,other,,,False,False,False
9,0,YES,0.5602268678906306,0.4352882307791807,0.9955150986698114,0.5602281010773323,0.43528876901078195,0.9955168700881143,1.7714183030582417e-06,1.7793987307929108e-06,3.92454836159152e-08,1.96227418079576e-07,True,True,0.2523334117635706,51935,YES,0.5483897924423218,literal,1784,The,0.0020405843388289213,other,Yeah,9.139805570157478e-07,False,False,False
