sample_idx,label_B,gold_yes_no,p_yes,p_no,literal_decidedness,semantic_yes_mass,semantic_no_mass,semantic_decidedness,answerlike_nonliteral_mass,answerlike_over_literal_ratio,control_mass,decidedness_floor,literal_above_floor,semantic_above_floor,lean,top1_token_id,top1_decoded,top1_prob,top1_class,top1_nonliteral_token_id,top1_nonliteral_decoded,top1_nonliteral_prob,top1_nonliteral_class,top1_answerlike_nl_decoded,top1_answerlike_nl_prob,answerlike_exceeds_literal,answerlike_materially_exceeds_literal,top1_is_answerlike_nonliteral
0,1,NO,0.08190287914771943,0.16466707310985385,0.24656995225757328,0.08206304829858554,0.16470109039492742,0.24676413869351296,0.00019418643593967222,0.0007875510951830015,0.7045672004097357,3.522836002048679,False,False,-0.6983915521191646,13,"
",0.6992629766464233,control,13,"
",0.6992629766464233,control,TRUE,0.0001379004679620266,False,False,False
1,0,YES,0.5488952494270052,0.04157330083765487,0.59046855026466,0.5490063279301227,0.04157786673623101,0.5905841946663537,0.00011564440169362089,0.0001958519241063503,0.3952172060439325,1.9760860302196626,False,False,2.580449466347351,22483,YES,0.5351861119270325,literal,13,"
",0.3915505111217499,control,TRUE,0.0001022959258989431,False,False,False
2,0,YES,0.6706085232872283,0.005177442156806933,0.6757859654440352,0.6706985065468889,0.005177652606984484,0.6758761591538733,9.019370983819313e-05,0.0001334649052365715,0.3223669021970791,1.6118345109853953,False,False,4.863874401508188,22483,YES,0.5641742944717407,literal,13,"
",0.3214568495750427,control,TRUE,6.54062969260849e-05,False,False,False
3,0,YES,0.6662669048419048,0.03503936616203873,0.7013062710039435,0.6665511757672279,0.035045056048218046,0.701596231815446,0.00028996081150244046,0.00041345817582288523,0.2945476527562779,1.4727382637813897,False,False,2.9452181713305112,22483,YES,0.6020726561546326,literal,13,"
",0.2934267818927765,control,TRUE,0.00023613021767232567,False,False,False
4,0,YES,0.7560839821671834,0.00899175228531135,0.7650757344524948,0.7564651848375852,0.00899381975967257,0.7654590045972578,0.0003832701447629792,0.000500957130782949,0.22469809721831385,1.1234904860915693,False,False,4.431844712992446,22483,YES,0.6683107018470764,literal,13,"
",0.22385604679584503,control,TRUE,0.0002878698578570038,False,False,False
5,0,YES,0.6498409840278327,0.01274436804845891,0.6625853520762917,0.6505562308147486,0.012748793030360403,0.6633050238451089,0.0007196717688173065,0.001086157076310437,0.32910039295796123,1.6455019647898061,False,False,3.931638240599166,21143,YES,0.3384481370449066,literal,13,"
",0.3280351758003235,control,TRUE,0.00042184002813883126,False,False,False
6,0,YES,0.8088411618482496,0.0038858052845469615,0.8127269671327966,0.8091651589966711,0.003886358791894258,0.8130515177885653,0.0003245506557687586,0.000399335408930424,0.18423031697088751,0.9211515848544376,False,False,5.338272315858408,22483,YES,0.7494670748710632,literal,13,"
",0.18366479873657227,control,TRUE,0.00027612887788563967,False,False,False
7,0,YES,0.7083726553746601,0.005126786017012108,0.7134994413916722,0.7085931112231182,0.005127319702340568,0.7137204309254588,0.0002209895337865215,0.0003097262884403722,0.28042813620320756,1.4021406810160377,False,False,4.9284913489862,22483,YES,0.6874023675918579,literal,13,"
",0.2777356505393982,control,TRUE,0.00020350182603579015,False,False,False
8,0,YES,0.0060132631679294946,0.8754802572530025,0.881493520420932,0.00603094264781133,0.875557982748872,0.8815889253966833,9.540497575132034e-05,0.00010823105733750877,0.07967299132030375,0.39836495660151877,True,True,-4.980805043459037,11698,NO,0.8135861754417419,literal,13,"
",0.07807749509811401,control,FALSE,7.119745714589953e-05,False,False,False
9,0,YES,0.03182341912128095,0.7567259077977724,0.7885493269190533,0.031857341720382654,0.7567917089731421,0.7886490506935248,9.972377447139968e-05,0.00012646485269479735,0.19620849383591363,0.9810424691795682,False,False,-3.1687986418619287,11698,NO,0.7221683263778687,literal,13,"
",0.19436895847320557,control,FALSE,5.577152478508651e-05,False,False,False
10,0,YES,4.0115742499624574e-05,0.4107656706387388,0.41080578638123844,4.118617141781605e-05,0.41087485352030373,0.4109160396917215,0.0001102533104831091,0.0002683830514032516,0.5809342521536877,2.9046712607684384,False,False,-9.234009323216734,13,"
",0.57840895652771,control,13,"
",0.57840895652771,control,FALSE,8.610232180217281e-05,False,False,False
11,0,YES,0.058164968224446056,0.060679297404931276,0.11884426562937733,0.05834854670024181,0.06068859752592645,0.11903714422616826,0.00019287859679092967,0.001622952489709791,0.8133379795879565,4.066689897939782,False,False,-0.042319322751624394,13,"
",0.8116419911384583,control,13,"
",0.8116419911384583,control,TRUE,0.00013690874038729817,False,False,False
12,0,YES,0.6874608934995194,0.014989780996273794,0.7024506744957932,0.6877797215049049,0.014990965601763107,0.7027706871066679,0.0003200126108747203,0.0004555659528755094,0.29228741373788186,1.4614370686894094,False,False,3.8256362436557256,22483,YES,0.578721284866333,literal,13,"
",0.29099932312965393,control,TRUE,0.00020666027558036149,False,False,False
13,1,NO,3.95085924485665e-07,0.7635592921278658,0.7635596872137903,5.312767469409956e-07,0.7635690483185997,0.7635695795953467,9.89238155635588e-06,1.2955610048577769e-05,0.23480440374208938,1.1740220187104469,False,False,-14.474395535249675,11698,NO,0.6976209282875061,literal,13,"
",0.23367375135421753,control,FALSE,8.524387340003159e-06,False,False,False
14,0,YES,0.5324588813782611,0.2547242588370864,0.7871831402153475,0.5329862072363603,0.25476076120528324,0.7877469684416435,0.0005638282262959982,0.000716260546614036,0.15627602572477794,0.7813801286238897,True,True,0.7373240543340523,22483,YES,0.47964251041412354,literal,13,"
",0.14628270268440247,control,TRUE,0.0004655857919715345,False,False,False
15,1,NO,0.0014662538103777933,0.29121896011929493,0.2926852139296727,0.0014807767353079287,0.2913763987618641,0.29285717549717205,0.0001719615674993097,0.0005875307645046569,0.6008952422287436,3.004476211143718,False,False,-5.291364704118843,13,"
",0.5935152769088745,control,13,"
",0.5935152769088745,control,FALSE,9.115561988437548e-05,False,False,False
