sample_idx,label_B,gold_yes_no,p_yes,p_no,literal_decidedness,semantic_yes_mass,semantic_no_mass,semantic_decidedness,answerlike_nonliteral_mass,answerlike_over_literal_ratio,control_mass,decidedness_floor,literal_above_floor,semantic_above_floor,lean,top1_token_id,top1_decoded,top1_prob,top1_class,top1_nonliteral_token_id,top1_nonliteral_decoded,top1_nonliteral_prob,top1_nonliteral_class,top1_answerlike_nl_decoded,top1_answerlike_nl_prob,answerlike_exceeds_literal,answerlike_materially_exceeds_literal,top1_is_answerlike_nonliteral
0,1,NO,0.0363845828715057,0.9566451202629837,0.9930297031344893,0.03641483954772861,0.9569028235843028,0.9933176631320314,0.00028795999754218185,0.000289981252960751,0.003733828321368902,0.018669141606844512,True,True,-3.269287359997282,9319, NO,0.9500142931938171,literal,1202," 

",0.002668394474312663,control, False,0.00024056306574493647,False,False,False
1,0,YES,0.18863312186294934,0.7642179878526324,0.9528511097155817,0.18873207394882385,0.7643741595552234,0.9531062335040472,0.00025512378846552925,0.00026774780011714695,0.03432685014457111,0.17163425072285554,True,True,-1.3990490984657862,9319, NO,0.7569462060928345,literal,1202," 

",0.030281657353043556,control, False,0.00014023188850842416,False,False,False
2,0,YES,0.5915509029946406,0.3291728010670716,0.9207237040617122,0.5917037855002594,0.32921976141765424,0.9209235469179136,0.00019984285620140395,0.00021704975696814398,0.05996654681375878,0.2998327340687939,True,True,0.586164893099637,32968, YES,0.5380978584289551,literal,1202," 

",0.053278904408216476,control, True,8.797438931651413e-05,False,False,False
3,0,YES,0.3488912551001704,0.6358349189647737,0.9847261740649441,0.34909201354956115,0.6359178659676248,0.985009879517186,0.00028370545224184264,0.0002881059320995888,0.009921755233276566,0.04960877616638283,True,True,-0.6001786845934751,9319, NO,0.6336768269538879,literal,1202," 

",0.008230024948716164,control, TRUE,0.00013302596926223487,False,False,False
4,0,YES,0.921858049419825,0.05567025898625217,0.9775283084060772,0.921901799904465,0.055673081726194146,0.9775748816306591,4.6573224581985735e-05,4.764386277255374e-05,0.012224689268037176,0.06112344634018588,True,True,2.806945197918576,32968, YES,0.8929131031036377,literal,1202," 

",0.010234243236482143,control,,,False,False,False
5,0,YES,0.3280720610637218,0.6117727340035479,0.9398447950672697,0.32813057006837354,0.611788790811197,0.9399193608795705,7.456581230079755e-05,7.933843193275384e-05,0.041529044655766394,0.20764522327883198,True,True,-0.6231275812571475,9319, NO,0.6076664924621582,literal,1202," 

",0.034282196313142776,control,,,False,False,False
6,0,YES,0.9725375555281062,0.009034330829547374,0.9815718863576536,0.9725652881205235,0.009034934092713526,0.981600222213237,2.8335855583450187e-05,2.8867835333586055e-05,0.013105299266403843,0.06552649633201921,True,True,4.678876835090519,32968, YES,0.9405052661895752,literal,1202," 

",0.011474959552288055,control,,,False,False,False
7,0,YES,0.8647859384946059,0.10296508705579487,0.9677510255504008,0.8648715415842232,0.10297162391430145,0.9678431654985247,9.21399481238202e-05,9.52103854102519e-05,0.024266342238632214,0.12133171119316108,True,True,2.1280920362030025,32968, YES,0.8312075138092041,literal,1202," 

",0.021469417959451675,control, TRUE,5.490666444529779e-05,False,False,False
8,0,YES,0.7350278705380333,0.21487644642608034,0.9499043169641137,0.7352147078302163,0.21490284882612934,0.9501175566563456,0.00021323969223190564,0.00022448544387440825,0.03506046981532706,0.1753023490766353,True,True,1.2298452224328267,32968, YES,0.678117573261261,literal,1202," 

",0.03074018284678459,control, TRUE,9.783926361706108e-05,False,False,False
9,0,YES,0.9524208895891206,0.030840619214067288,0.983261508803188,0.9524820277550776,0.030842516909069438,0.9833245446641471,6.303586095917202e-05,6.410894802126281e-05,0.012748588823694382,0.06374294411847191,True,True,3.430174421199986,32968, YES,0.9195095896720886,literal,1202," 

",0.011218794621527195,control, TRUE,3.800986451096833e-05,False,False,False
