sample_idx,label_B,gold_yes_no,p_yes,p_no,literal_decidedness,semantic_yes_mass,semantic_no_mass,semantic_decidedness,answerlike_nonliteral_mass,answerlike_over_literal_ratio,control_mass,decidedness_floor,literal_above_floor,semantic_above_floor,lean,top1_token_id,top1_decoded,top1_prob,top1_class,top1_nonliteral_token_id,top1_nonliteral_decoded,top1_nonliteral_prob,top1_nonliteral_class,top1_answerlike_nl_decoded,top1_answerlike_nl_prob,answerlike_exceeds_literal,answerlike_materially_exceeds_literal,top1_is_answerlike_nonliteral
0,1,NO,7.164336846909869e-05,0.5120866631239736,0.5121583064924426,7.414296881055939e-05,0.512094311755609,0.5121684547244196,1.0148231976907632e-05,1.9814639044729382e-05,0.00013274270274652187,0.0006637135137326094,True,True,-8.874548544178941,2014, To,0.42432907223701477,other,2014, To,0.42432907223701477,other,,,False,False,False
1,0,YES,0.037428978858201845,0.015172135800311681,0.052601114658513526,0.03744116256341017,0.01517278110172585,0.052613943665136026,1.2829006622499433e-05,0.00024389229592918995,0.002335082825889176,0.01167541412944588,True,True,0.9029846656260265,2014, To,0.8678387999534607,other,2014, To,0.8678387999534607,other,,,False,False,False
2,0,YES,0.003384742607266844,0.08485427429585846,0.0882390169031253,0.0033852466355436947,0.08485530796828337,0.08824055460382707,1.5377007017738887e-06,1.7426539367070232e-05,0.0010773506136254906,0.005386753068127453,True,True,-3.221657500597072,2014, To,0.84783935546875,other,2014, To,0.84783935546875,other,,,False,False,False
3,0,YES,0.029478798040017296,0.007194949713633665,0.03667374775365096,0.02948107622172884,0.007194988047435271,0.03667606426916411,2.316515513148509e-06,6.316549725730975e-05,0.0005575619219243169,0.0027878096096215846,True,True,1.4102919430927703,2014, To,0.9459428787231445,other,2014, To,0.9459428787231445,other,,,False,False,False
4,0,YES,0.000481765038737203,0.1219566444101976,0.1224384094489348,0.0004819266381718967,0.12195887114815487,0.12244079778632677,2.3883373919581707e-06,1.9506439218767136e-05,0.0017307036254383288,0.008653518127191645,True,True,-5.5339643611026315,2014, To,0.4410785436630249,other,2014, To,0.4410785436630249,other,,,False,False,False
5,0,YES,0.1372648632682285,0.008783932683705059,0.14604879595193357,0.13727097102315247,0.008784030063963437,0.14605500108711592,6.205135182351721e-06,4.24867260418491e-05,0.0026940268863320863,0.013470134431660431,True,True,2.7489881465878807,2014, To,0.7297478914260864,other,2014, To,0.7297478914260864,other,,,False,False,False
6,0,YES,0.12206725739474678,0.0035238936986909594,0.12559115109343774,0.1220714149025209,0.0035239300327249393,0.12559534493524582,4.193841808104525e-06,3.3392812882050715e-05,0.007262314758408558,0.03631157379204279,True,True,3.5450056400121754,2014, To,0.8420897126197815,other,2014, To,0.8420897126197815,other,,,False,False,False
7,0,YES,0.46493097430285957,0.0005595866731601465,0.4654905609760197,0.4649505972564736,0.0005596193724411275,0.46551021662891473,1.965565289498542e-05,4.222567446646465e-05,0.006141917715418596,0.03070958857709298,True,True,6.722445801837746,2014, To,0.4840078353881836,other,2014, To,0.4840078353881836,other, TRUE,9.304344530391973e-06,False,False,False
8,0,YES,0.01697488855906215,0.0037013293375154355,0.020676217896577587,0.016979175087767386,0.0037014727225065805,0.020680647810273966,4.429913696383115e-06,0.00021425164498369755,0.000893644490487004,0.00446822245243502,True,True,1.5230430726742406,2014, To,0.9644043445587158,other,2014, To,0.9644043445587158,other, True,2.52869517680665e-06,False,False,False
9,0,YES,0.006295789782853944,0.18849423687606048,0.19479002665891443,0.006296384127942477,0.1884951471548299,0.19479153128277238,1.5046238579684767e-06,7.724337245474774e-06,0.0003489028078260226,0.001744514039130113,True,True,-3.3991863111080005,2014, To,0.7878807187080383,other,2014, To,0.7878807187080383,other,,,False,False,False
10,0,YES,5.576378457328168e-06,0.7324344048132545,0.7324399811917118,6.105665447476738e-06,0.7324388498828863,0.7324449555483338,4.974356622058673e-06,6.791487015721312e-06,0.00017868593101376637,0.0008934296550688318,True,True,-11.78558934309099,5664, NO,0.6239757537841797,literal,2014, To,0.22598902881145477,other, False,3.1783645226823865e-06,False,False,False
11,0,YES,0.020574070904828545,0.10796962123241771,0.12854369213724626,0.020575514414679155,0.1079701969415446,0.12854571135622375,2.019218977499242e-06,1.5708425236014843e-05,0.00297009188882861,0.014850459444143049,True,True,-1.6578183135972353,2014, To,0.6550756692886353,other,2014, To,0.6550756692886353,other,,,False,False,False
12,0,YES,0.07958100506917276,0.06439136984927352,0.14397237491844628,0.07958461308499518,0.06439174480211671,0.14397635788711188,3.9829686655917795e-06,2.7664811863025444e-05,0.0003867914898252182,0.001933957449126091,True,True,0.21179581900778774,2014, To,0.8205087184906006,other,2014, To,0.8205087184906006,other,,,False,False,False
13,1,NO,1.1731665940182406e-06,0.8706845658973004,0.8706857390638943,1.4367610588201284e-06,0.8706861870123878,0.8706876237734466,1.8847095522137548e-06,2.1646266473137298e-06,0.00020575075983179385,0.0010287537991589693,True,True,-13.51732760270882,5664, NO,0.8470049500465393,literal,2014, To,0.11285248398780823,other,,,False,False,False
14,0,YES,0.2924154678850357,0.004544850383817967,0.29696031826885366,0.29244216845252646,0.0045450345839598005,0.2969872030364863,2.6884767632587942e-05,9.053319914699095e-05,0.007438335166910918,0.03719167583455459,True,True,4.164180817767823,2014, To,0.6093989014625549,other,2014, To,0.6093989014625549,other,,,False,False,False
15,1,NO,3.736311707464024e-05,0.34953693112115847,0.3495742942382331,3.751305868524513e-05,0.3495385290176147,0.34957604207629994,1.747838066825665e-06,4.999904442729196e-06,2.0657517313930454e-05,0.00010328758656965227,True,True,-9.143680433400284,2014, To,0.611105740070343,other,2014, To,0.611105740070343,other,,,False,False,False
16,1,NO,0.00011535330962919588,0.5179797371674653,0.5180950904770945,0.00011843804087630677,0.5179879595786586,0.5181063976195349,1.1307142440406013e-05,2.1824453943374924e-05,0.0003649097797555817,0.0018245488987779085,True,True,-8.409691718103296,2014, To,0.40608054399490356,other,2014, To,0.40608054399490356,other,,,False,False,False
17,0,YES,0.3383244296178418,0.0004942646878828214,0.33881869430572464,0.338347474545369,0.0004943627492024203,0.3388418372945714,2.314298884680317e-05,6.830493486856032e-05,0.05548199861451245,0.27740999307256226,True,True,6.528689383896654,2014, To,0.542212188243866,other,2014, To,0.542212188243866,other,,,False,False,False
18,1,NO,0.0014950808435774121,0.2031839029525251,0.2046789837961025,0.0014952899714210945,0.20318692405266564,0.20468221402408673,3.23022798422218e-06,1.5781923108627874e-05,0.0001628555171679379,0.0008142775858396894,True,True,-4.9119312127970645,2014, To,0.7246742844581604,other,2014, To,0.7246742844581604,other,,,False,False,False
19,1,NO,1.091875840183304e-06,0.9374866869374614,0.9374877788133016,2.529757543203525e-06,0.937491392338956,0.9374939220964992,6.143283197582457e-06,6.552920834188151e-06,4.5089768230962766e-05,0.00022544884115481383,True,True,-13.66305974887967,5664, NO,0.8374423384666443,literal,2014, To,0.03856046125292778,other, Nope,2.488164227543166e-06,False,False,False
20,1,NO,0.013747961636852324,0.0004160336867620601,0.014163995323614384,0.013758908509975987,0.0004161777974618874,0.014175086307437874,1.1090983823491103e-05,0.0007830406301391586,0.008997159603715388,0.04498579801857694,False,False,3.4978796104057777,2014, To,0.9545787572860718,other,2014, To,0.9545787572860718,other, True,6.965019565541297e-06,False,False,False
21,0,YES,0.29397661220093596,0.00020759552535615407,0.2941842077262921,0.29398028580463015,0.0002076167230386959,0.29418790252766885,3.6948013766927676e-06,1.2559482391149959e-05,0.007190050895400742,0.03595025447700371,True,True,7.255663891107581,2014, To,0.6742172241210938,other,2014, To,0.6742172241210938,other,,,False,False,False
22,1,NO,0.11415257440174287,0.0018347127203936914,0.11598728712213656,0.11416209443963778,0.001834815880819098,0.11599691032045688,9.623198320309501e-06,8.296769895286982e-05,0.0013946484021414131,0.006973242010707066,True,True,4.130648011375251,2014, To,0.8593882322311401,other,2014, To,0.8593882322311401,other,,,False,False,False
23,0,YES,0.09980268536912718,0.05166578905294483,0.151468474422072,0.0998215681838371,0.05166700756358352,0.1514885757474206,2.0101325348598122e-05,0.00013270963099941906,0.015045287309956724,0.07522643654978362,True,True,0.6583992484175303,2014, To,0.780013918876648,other,2014, To,0.780013918876648,other,,,False,False,False
24,1,NO,1.9943926513887877e-06,0.8248802954054746,0.824882289798126,2.699820714590577e-06,0.8248888259705538,0.8248915257912683,9.235993142431374e-06,1.1196740743084332e-05,0.0002369450356873509,0.0011847251784367545,True,True,-12.932653488308778,5664, NO,0.7461673021316528,literal,2014, To,0.08911697566509247,other,,,False,False,False
25,0,YES,0.7980910122107616,0.001160815412860769,0.7992518276236223,0.7980976525510625,0.001160849588448696,0.7992585021395111,6.6745158887956115e-06,8.350954803119604e-06,0.01702259717377109,0.08511298586885546,True,True,6.53309994018424,14080, YES,0.7137749791145325,literal,2014, To,0.10282903909683228,other,,,False,False,False
26,0,YES,0.637860953462905,0.0012594244997078188,0.6391203779626128,0.6378670561818428,0.0012594471444265377,0.6391265033262693,6.125363656605937e-06,9.584053126474177e-06,0.006876966422776793,0.03438483211388396,True,True,6.227465447159576,14080, YES,0.594547688961029,literal,2014, To,0.26798364520072937,other,,,False,False,False
27,0,YES,0.4212291585553771,0.0036494274416309647,0.4248785859970081,0.4212370655912437,0.0036494605738907017,0.4248865261651344,7.940168126252719e-06,1.8688087345283697e-05,0.005808293108125763,0.029041465540628815,True,True,4.748606714948363,2014, To,0.5063599348068237,other,2014, To,0.5063599348068237,other,,,False,False,False
28,0,YES,0.3393469069542334,0.00032188397775679417,0.3396687909319902,0.3393892838122734,0.00032196993246439467,0.3397112537447378,4.2462812747541916e-05,0.00012501240585286502,0.04163354076233067,0.20816770381165334,True,True,6.960587021279199,2014, To,0.552096962928772,other,2014, To,0.552096962928772,other,,,False,False,False
29,0,YES,0.3911927070736283,0.00381962998844243,0.39501233706207073,0.3912353375584369,0.0038199170040594636,0.3950552545624964,4.2917500425639033e-05,0.00010864850638549839,0.021446225716219836,0.10723112858109918,True,True,4.629046739015011,2014, To,0.5336430072784424,other,2014, To,0.5336430072784424,other, Correct,1.977378997253254e-05,False,False,False
30,1,NO,0.0001626382286601391,0.23971956874618217,0.2398822069748423,0.00016291958785187344,0.23972148727918907,0.23988440686704093,2.199892198626057e-06,9.17071852209852e-06,0.0017932484657925368,0.008966242328962684,True,True,-7.295696771345376,2014, To,0.7298561334609985,other,2014, To,0.7298561334609985,other,,,False,False,False
31,0,YES,0.047568520006564086,0.0009943208616175446,0.048562840868181634,0.04757232256703198,0.0009943467889806737,0.04856666935601265,3.828487831018133e-06,7.883574689154064e-05,0.002167510801418687,0.010837554007093436,True,True,3.867866523073864,2014, To,0.9414334297180176,other,2014, To,0.9414334297180176,other,,,False,False,False
32,1,NO,2.586352586410323e-06,0.4298442599820893,0.42984684633467574,3.506786470095625e-06,0.429847687548123,0.4298511943345931,4.347999917432377e-06,1.0115230469894048e-05,0.0006933805881442184,0.003466902940721092,True,True,-12.020929233958713,2014, To,0.5246300101280212,other,2014, To,0.5246300101280212,other,,,False,False,False
33,0,YES,0.12022064378709274,0.0003186021075965162,0.12053924589468926,0.12022782653511394,0.00031862813079214057,0.12054645466590608,7.208771216822754e-06,5.980434972291758e-05,0.003543364540874572,0.01771682270437286,True,True,5.933141015888628,2014, To,0.8647676706314087,other,2014, To,0.8647676706314087,other,,,False,False,False
34,1,NO,4.120963233697483e-05,0.7840702477302894,0.7841114573626264,4.38922887525179e-05,0.7840767037884515,0.7841205960772041,9.13871457760521e-06,1.165486678174994e-05,7.535515229421984e-05,0.00037677576147109916,True,True,-9.853581849133901,5664, NO,0.6943681836128235,literal,2014, To,0.19281907379627228,other, False,4.43629778601462e-06,False,False,False
35,0,YES,0.2506914199872483,0.00019669753914725984,0.25088811752639556,0.2506990121621792,0.00019671921965340716,0.25089573138183263,7.613855436985628e-06,3.0347612760833864e-05,0.002394965023676483,0.011974825118382415,True,True,7.150310839630915,2014, To,0.7319135665893555,other,2014, To,0.7319135665893555,other,,,False,False,False
36,0,YES,0.16703278053498138,0.04418761833170637,0.21122039886668775,0.16704722146401024,0.04418791837425672,0.21123513983826697,1.4740971579198264e-05,6.978952628766723e-05,0.000844070443286596,0.004220352216432979,True,True,1.3297454621677873,2014, To,0.6613792777061462,other,2014, To,0.6613792777061462,other,,,False,False,False
37,1,NO,0.0006236836455437711,0.3357456600553701,0.33636934370091387,0.0006240625630799284,0.33574708564535966,0.3363711482084396,1.8045075256891506e-06,5.364661077121363e-06,0.00018136316014754104,0.0009068158007377051,True,True,-6.288465925064778,2014, To,0.63744056224823,other,2014, To,0.63744056224823,other,,,False,False,False
38,0,YES,0.45062092893152794,0.0002813662827237419,0.4509022952142517,0.4506249210257938,0.0002813757272807966,0.45090629675307464,4.0015388229514e-06,8.874514202794246e-06,0.0017393318475388384,0.008696659237694191,True,True,7.378724431401171,2014, To,0.5046501159667969,other,2014, To,0.5046501159667969,other,,,False,False,False
39,1,NO,3.0169502911771284e-06,0.8430854246538964,0.8430884416041875,4.628156640448095e-06,0.8430891756115472,0.8430938037681877,5.362164000110952e-06,6.360144126644754e-06,3.6583282856332295e-05,0.00018291641428166147,True,True,-12.540576750700803,5664, NO,0.796685516834259,literal,2014, To,0.13418373465538025,other, False,2.442208597130957e-06,False,False,False
40,0,YES,0.7547835502204521,0.0001956961554945777,0.7549792463759466,0.7547891784218524,0.0001957227438800855,0.7549849011657326,5.654789785838381e-06,7.489993682584677e-06,0.0067907306399820535,0.03395365319991027,True,True,8.25762306425303,14080, YES,0.6803383231163025,literal,2014, To,0.18599413335323334,other,,,False,False,False
41,1,NO,1.6777845281302356e-06,0.7797863618681511,0.7797880396526792,3.7078479009890363e-06,0.7797950075347987,0.7797987153826996,1.0675730020462074e-05,1.3690553685867108e-05,0.0001141642184260321,0.0005708210921301605,True,True,-13.049300480220765,5664, NO,0.6999719738960266,literal,2014, To,0.1513795554637909,other, False,3.915901288564783e-06,False,False,False
42,1,NO,0.06407639079976946,0.15770117093168423,0.2217775617314537,0.06408278449417623,0.15770277920406023,0.22178556369823646,8.001966782782621e-06,3.608104769621398e-05,0.0012132181585491572,0.006066090792745785,True,True,-0.9006259411659315,2014, To,0.6870664358139038,other,2014, To,0.6870664358139038,other,,,False,False,False
43,1,NO,7.845201028004387e-07,0.8378420707203302,0.837842855240433,1.7619024243122379e-06,0.8378466126240346,0.8378483745264589,5.519286025804888e-06,6.587495484724324e-06,7.930918487649716e-05,0.0003965459243824858,True,True,-13.881266709432653,5664, NO,0.782036542892456,literal,2014, To,0.12766395509243011,other, False,2.7164999210071983e-06,False,False,False
44,0,YES,0.0005400571286999778,0.4592206723191281,0.4597607294478281,0.000540617448872349,0.4592224394938105,0.4597630569426828,2.3274948547148716e-06,5.062404650153982e-06,4.915747732252746e-05,0.00024578738661263733,True,True,-6.745611211389909,2014, To,0.48057880997657776,other,2014, To,0.48057880997657776,other,,,False,False,False
45,0,YES,0.0029906853459316096,0.14214415460309082,0.14513483994902243,0.0029912769697364974,0.142147277079195,0.1451385540489315,3.7140999090766295e-06,2.5590684568785692e-05,0.0014167643485595606,0.007083821742797803,True,True,-3.861339141771687,2014, To,0.6070064902305603,other,2014, To,0.6070064902305603,other,,,False,False,False
46,1,NO,2.216519597041805e-06,0.6214803169334067,0.6214825334530037,3.1086858398014545e-06,0.6214837691533298,0.6214868778391696,4.34438616588616e-06,6.990359233023691e-06,0.0004911926420823716,0.0024559632104118583,True,True,-12.543920851415947,5664, NO,0.5218580961227417,literal,2014, To,0.33171316981315613,other,,,False,False,False
47,0,YES,0.8822536025504633,0.0001753309364157362,0.882428933486879,0.8822624288638417,0.00017536170667844142,0.8824377905705201,8.857083641055816e-06,1.0037163679637566e-05,0.004907781775160793,0.024538908875803966,True,True,8.523559565850258,14080, YES,0.815787136554718,literal,2014, To,0.07828871160745621,other,,,False,False,False
48,1,NO,3.0750837303444856e-05,0.80671115247939,0.8067419033166934,3.361254459947068e-05,0.8067237893789783,0.8067574019235777,1.549860688436531e-05,1.9211357214305007e-05,0.0005844661613858364,0.0029223308069291822,True,True,-10.174803699865569,5664, NO,0.7648590207099915,literal,2014, To,0.1603231579065323,other, False,8.643623004900292e-06,False,False,False
49,1,NO,8.49688494074241e-06,0.5659830308512177,0.5659915277361585,1.542502020823534e-05,0.5659898008702771,0.5660052258904853,1.3698154326864757e-05,2.420204836219786e-05,0.0002100091373046717,0.0010500456865233584,True,True,-11.10661963945199,5664, NO,0.5029664039611816,literal,2014, To,0.38563773036003113,other, Correct,6.909976036695298e-06,False,False,False
50,1,NO,8.504753620575123e-06,0.6670561757217381,0.6670646804753587,1.1356215544637119e-05,0.6670677026716771,0.6670790588872217,1.4378411863051863e-05,2.1554749162863226e-05,0.006210880829807481,0.031054404149037405,True,True,-11.270004168589422,5664, NO,0.5759102702140808,literal,2014, To,0.28509625792503357,other,,,False,False,False
51,1,NO,5.100150791872982e-06,0.6145953341478858,0.6146004342986777,1.930887829047649e-05,0.6146268574328209,0.6146461663111114,4.573201243366375e-05,7.440933959939139e-05,0.0023049136375003308,0.011524568187501654,True,True,-11.699449034562525,5664, NO,0.4935428202152252,literal,2014, To,0.2683345675468445,other, False,1.588880695635453e-05,False,False,False
52,1,NO,1.4561841363263522e-06,0.8202971739562654,0.8202986301404017,2.622034115719528e-06,0.8203000752607029,0.8203026972948186,4.067154416952354e-06,4.958138740590391e-06,5.714541374202949e-05,0.00028572706871014743,True,True,-13.241601865090345,5664, NO,0.7623921632766724,literal,2014, To,0.11691663414239883,other,,,False,False,False
53,1,NO,6.847220433559009e-05,0.45764293597936323,0.4577114081836988,7.279157013091796e-05,0.45768997522123134,0.45776276679136224,5.135860766341465e-05,0.00011220740131258053,0.0019351124281013652,0.009675562140506827,True,True,-8.807416641874045,2014, To,0.451709508895874,other,2014, To,0.451709508895874,other, False,4.01518918806687e-05,False,False,False
54,1,NO,1.7576020576379192e-06,0.6179877537856568,0.6179895113877145,1.881805169850654e-06,0.6179892715343246,0.6179911533394944,1.641951779978679e-06,2.656924995849243e-06,1.723399508103289e-05,8.616997540516444e-05,True,True,-12.770272938610999,5664, NO,0.5482667088508606,literal,2014, To,0.35398757457733154,other,,,False,False,False
55,1,NO,2.5227292314966565e-05,0.6057196248073016,0.6057448520996165,2.6173858524455562e-05,0.605728947945822,0.6057551218043464,1.0269704729871979e-05,1.6953845656756974e-05,0.00012845478985968063,0.0006422739492984032,True,True,-10.086246016179436,5664, NO,0.5086123943328857,literal,2014, To,0.3037063181400299,other, False,6.070882591302507e-06,False,False,False
56,0,YES,0.08400522888021555,0.005583676815082206,0.08958890569529776,0.08400842807153346,0.00558372671972581,0.08959215479125926,3.249095961497804e-06,3.626672227193349e-05,0.003699572237697323,0.018497861188486616,True,True,2.7110315584828135,2014, To,0.862856924533844,other,2014, To,0.862856924533844,other,,,False,False,False
57,1,NO,0.01967255285671854,0.05051077128475279,0.07018332414147133,0.019674018149444167,0.050511077322234074,0.07018509547167824,1.7713302069131574e-06,2.5238619409685077e-05,0.00021971182566657988,0.0010985591283328995,True,True,-0.9429621980177871,2014, To,0.9048583507537842,other,2014, To,0.9048583507537842,other,,,False,False,False
58,0,YES,0.446135659322465,0.0003824216000432399,0.4465180809225083,0.4461521373897293,0.0003824518878134631,0.44653458927754275,1.65083550344889e-05,3.69713024842859e-05,0.008967934833872182,0.04483967416936091,True,True,7.061854685973276,2014, To,0.5103341937065125,other,2014, To,0.5103341937065125,other,,,False,False,False
59,1,NO,0.029413654426107883,0.13796763767345066,0.16738129209955854,0.029415343193790237,0.13796873943245833,0.16738408262624857,2.790526690007192e-06,1.667167611746828e-05,0.005387842809648563,0.026939214048242816,True,True,-1.5455601452264303,2014, To,0.7447686195373535,other,2014, To,0.7447686195373535,other,,,False,False,False
60,1,NO,5.56195583001351e-06,0.5078931447419874,0.5078987066978174,7.283368992346914e-06,0.5079009302601265,0.5079082136291189,9.506931301366556e-06,1.8718164027582094e-05,0.00018035678234067375,0.0009017839117033688,True,True,-11.422076365253355,2014, To,0.4443175494670868,other,2014, To,0.4443175494670868,other,,,False,False,False
61,1,NO,2.3051602063457743e-06,0.8152519607737743,0.8152542659339806,2.605492022031954e-06,0.8152560054428981,0.8152586109349201,4.345000939612508e-06,5.329626744896256e-06,1.970669787457027e-05,9.853348937285135e-05,True,True,-12.776101887089313,5664, NO,0.730646550655365,literal,2014, To,0.1507774442434311,other, False,2.310866648258525e-06,False,False,False
62,1,NO,1.7065728760475712e-06,0.73584777869352,0.735849485266396,3.826583110097899e-06,0.7358532567759367,0.7358570833590468,7.598092650660923e-06,1.0325607074264953e-05,4.267644164610486e-05,0.00021338220823052432,True,True,-12.974290774492527,5664, NO,0.6083042621612549,literal,2014, To,0.2069651186466217,other, False,2.9566460852947785e-06,False,False,False
63,0,YES,0.3064659166075785,0.001969288385110818,0.3084352049926893,0.3064744412568618,0.0019693163515439966,0.3084437576084058,8.552615716456174e-06,2.772905160634595e-05,0.0024900000382619895,0.012450000191309948,True,True,5.04743429509542,2014, To,0.40295636653900146,other,2014, To,0.40295636653900146,other,,,False,False,False
