sample_idx,label_B,gold_yes_no,p_yes,p_no,literal_decidedness,semantic_yes_mass,semantic_no_mass,semantic_decidedness,answerlike_nonliteral_mass,answerlike_over_literal_ratio,control_mass,decidedness_floor,literal_above_floor,semantic_above_floor,lean,top1_token_id,top1_decoded,top1_prob,top1_class,top1_nonliteral_token_id,top1_nonliteral_decoded,top1_nonliteral_prob,top1_nonliteral_class,top1_answerlike_nl_decoded,top1_answerlike_nl_prob,answerlike_exceeds_literal,answerlike_materially_exceeds_literal,top1_is_answerlike_nonliteral
0,1,NO,0.43818114451861906,0.5615366870984093,0.9997178316170283,0.43818193543140593,0.5615373537328767,0.9997192891642827,1.457547254166585e-06,1.457958643999602e-06,8.14060769272503e-06,4.0703038463625154e-05,True,True,-0.2480447128682625,5664, NO,0.5615314841270447,literal,14822, Step,0.00012946661445312202,other, TRUE,7.698366744079976e-07,False,False,False
1,0,YES,0.02045394671359324,0.9787910026343319,0.9992449493479252,0.02045411943788473,0.9787990891923884,0.9992532086302732,8.2592823480667e-06,8.265523236776368e-06,1.0401300006614177e-05,5.200650003307089e-05,True,True,-3.8681422820394813,5664, NO,0.9787501096725464,literal,14822, Step,0.00042158932774327695,other, FALSE,7.721677320660092e-06,False,False,False
2,0,YES,0.05387721091859887,0.9456861078007166,0.9995633187193155,0.05387742877265879,0.9456877618235134,0.9995651905961722,1.871876856800429e-06,1.8726946274886916e-06,5.584514332482141e-06,2.7922571662410705e-05,True,True,-2.8652031185233517,5664, NO,0.9456517100334167,literal,14822, Step,0.00019241022528149188,other, FALSE,1.4690701846120646e-06,False,False,False
3,0,YES,0.5632590185515545,0.4363428285134799,0.9996018470650343,0.5632614506586353,0.4363434200589819,0.9996048707176173,3.023652582944144e-06,3.024856938612104e-06,1.5841812732929845e-05,7.920906366464922e-05,True,True,0.25531135251129783,14080, YES,0.5602623224258423,literal,14822, Step,0.00011399566574255005,other, TRUE,2.3659044927626383e-06,False,False,False
4,0,YES,0.6792581448898232,0.3206988624067312,0.9999570072965543,0.6792583096492953,0.32069891156394265,0.9999572212132379,2.1391668347269673e-07,2.1392588072464608e-07,1.1446846527193328e-06,5.723423263596664e-06,True,True,0.7504986797640487,14080, YES,0.6789175868034363,literal,14822, Step,1.133907790062949e-05,other, TRUE,1.617432729972279e-07,False,False,False
5,0,YES,0.3215480172880003,0.6778358047628125,0.9993838220508128,0.3215484625628962,0.6778370287584105,0.9993854913213067,1.6692704937592501e-06,1.670299695600213e-06,1.3209467360053444e-05,6.604733680026721e-05,True,True,-0.7457581962894445,5664, NO,0.677823543548584,literal,14822, Step,0.00020066607976332307,other, FALSE,1.0529989822316566e-06,False,False,False
6,0,YES,0.2697008572075563,0.7300965727420943,0.9997974299496506,0.2697010873778254,0.7300967852487439,0.9997978726265693,4.42676918606697e-07,4.427666098611496e-07,7.750752393510403e-06,3.8753761967552015e-05,True,True,-0.9958634083029244,5664, NO,0.7300896644592285,literal,14822, Step,3.755935904337093e-05,other,,,False,False,False
7,0,YES,0.0182832977670912,0.9802975434204696,0.9985808411875607,0.01828370818690741,0.9803231647344671,0.9986068729213745,2.603173381369222e-05,2.6068729480864083e-05,7.254893014725392e-06,3.627446507362696e-05,True,True,-3.981868188495107,5664, NO,0.9802133440971375,literal,14822, Step,0.0006961224135011435,other, FALSE,2.381999911449384e-05,False,False,False
8,0,YES,0.29483872607554984,0.7025212469560049,0.9973599730315548,0.2948401749655844,0.702522681257378,0.9973628562229624,2.8831914077897846e-06,2.8908232591549623e-06,1.4502873358332041e-05,7.25143667916602e-05,True,True,-0.8682471299454604,5664, NO,0.7025033831596375,literal,14822, Step,0.0019731875509023666,other, TRUE,1.4013072586749331e-06,False,False,False
9,0,YES,0.16545226881823583,0.8330423356818769,0.9984946045001127,0.16545313643692716,0.8330463676574571,0.9984995040943843,4.899594271538166e-06,4.906981218983255e-06,8.653429960013566e-06,4.3267149800067835e-05,True,True,-1.616401716730039,5664, NO,0.8329695463180542,literal,14822, Step,0.0008607054478488863,other, FALSE,3.1041886359162163e-06,False,False,False
10,0,YES,0.014349960012687735,0.9854523517755139,0.9998023117882017,0.01435023699689174,0.9854579588074716,0.9998081958043633,5.8840161615125595e-06,5.885179592142242e-06,5.727990990967181e-06,2.8639954954835906e-05,True,True,-4.229353620436595,5664, NO,0.9853296875953674,literal,576, The,5.06901451444719e-05,other, FALSE,5.342702024790924e-06,False,False,False
11,0,YES,0.0036760192025494104,0.9958551121011263,0.9995311313036758,0.003676051279068069,0.9958577165668903,0.9995337678459584,2.6365422824906976e-06,2.6377790545171805e-06,1.656768353989762e-06,8.283841769948811e-06,True,True,-5.601771348711951,5664, NO,0.9957691431045532,literal,14822, Step,0.0001788005029084161,other, FALSE,2.250766328870668e-06,False,False,False
12,0,YES,0.9627046202068237,0.03715489999733475,0.9998595202041585,0.9627052826680822,0.037154942277071085,0.9998602249451533,7.047409949079813e-07,7.048400106887838e-07,1.1429696658996607e-06,5.714848329498303e-06,True,True,3.254650975857896,14080, YES,0.9582158923149109,literal,576, The,6.329639290925115e-05,other, TRUE,6.205360705280327e-07,False,False,False
13,1,NO,0.0002681228098895339,0.9996525958057823,0.9999207186156718,0.00026812597484607525,0.9996555721295457,0.9999236981043917,2.9794887199875153e-06,2.9797249567070005e-06,3.322362329382801e-07,1.6611811646914005e-06,True,True,-8.223717968277848,5664, NO,0.9995672106742859,literal,14822, Step,3.53422001353465e-05,other, FALSE,2.901064362959005e-06,False,False,False
14,0,YES,0.12130250121147279,0.8780278753041106,0.9993303765155834,0.12130286478979505,0.8780288758149895,0.9993317406047845,1.3640892011840845e-06,1.3650032394094977e-06,2.564252371908661e-05,0.00012821261859543307,True,True,-1.9793909059794415,5664, NO,0.8779923915863037,literal,576, The,0.00015765249554533511,other, FALSE,9.374360274705396e-07,False,False,False
15,1,NO,0.20240299490831726,0.7967869520151577,0.999189946923475,0.20240414905514695,0.7967890150828989,0.9991931641380458,3.2172145709920602e-06,3.219822798355734e-06,2.4939827066058174e-05,0.00012469913533029087,True,True,-1.3703265963679498,5664, NO,0.7967495322227478,literal,576, The,0.0002081576531054452,other, FALSE,1.8009164932664135e-06,False,False,False
16,1,NO,0.023066539352387033,0.9767339881614628,0.9998005275138498,0.02306655950063296,0.9767345907904412,0.9998011502910742,6.227772244387606e-07,6.229014761448338e-07,8.205005310627421e-06,4.1025026553137104e-05,True,True,-3.745831286248178,5664, NO,0.9767259359359741,literal,14822, Step,6.451910303439945e-05,other, FALSE,5.581996447290294e-07,False,False,False
17,0,YES,0.24676931919028178,0.7526268588410413,0.9993961780313231,0.24676972059255173,0.7526272850677047,0.9993970056602565,8.276289334135108e-07,8.281289758820464e-07,8.611702596307421e-05,0.00043058512981537106,True,True,-1.1151155957496866,5664, NO,0.7526177167892456,literal,576, The,0.00017352344002574682,other,,,False,False,False
18,1,NO,0.06050971605793798,0.9372921990217037,0.9978019150796417,0.060510066313872096,0.937294060227591,0.9978041265414631,2.211461821376742e-06,2.2163335106449754e-06,1.3821710188101609e-05,6.910855094050805e-05,True,True,-2.7401911307416813,5664, NO,0.9372646808624268,literal,14822, Step,0.0009684733813628554,other, FALSE,1.6499104731337866e-06,False,False,False
19,1,NO,0.07621182694148887,0.9229285978837717,0.9991404248252606,0.07621329662219353,0.922934712642696,0.9991480092648896,7.584439629100626e-06,7.590964633852211e-06,1.4010670794625305e-05,7.005335397312653e-05,True,True,-2.4940352129045418,5664, NO,0.9228794574737549,literal,14822, Step,0.00024111017410177737,other, FALSE,5.6703674999880604e-06,False,False,False
20,1,NO,0.07614137080509087,0.9213385266585877,0.9974798974636786,0.07614152187041304,0.921338915355225,0.9974804372256381,5.39761959497564e-07,5.41125651624692e-07,4.056666140272005e-06,2.0283330701360026e-05,True,True,-2.4932357784044847,5664, NO,0.921319842338562,literal,14822, Step,0.0022837237920612097,other,,,False,False,False
21,0,YES,0.02077597712949597,0.9780160997734069,0.9987920769029028,0.020776206032265914,0.9780210679323449,0.9987972739646108,5.197061708036828e-06,5.203346951001152e-06,1.705963619901264e-05,8.529818099506321e-05,True,True,-3.8517287582420012,5664, NO,0.9778125882148743,literal,14822, Step,0.0006128212553448975,other, FALSE,4.678947789216181e-06,False,False,False
22,1,NO,0.05365417138115314,0.9460958213372975,0.9997499927184507,0.053654314250629734,0.9460981473525953,0.9997524616032251,2.4688847743772856e-06,2.469502167901063e-06,2.491740478412144e-06,1.2458702392060721e-05,True,True,-2.869784637159102,5664, NO,0.9460323452949524,literal,14822, Step,9.09247319214046e-05,other, FALSE,2.1383448256528936e-06,False,False,False
