sample_idx,label_B,gold_yes_no,p_yes,p_no,literal_decidedness,semantic_yes_mass,semantic_no_mass,semantic_decidedness,answerlike_nonliteral_mass,answerlike_over_literal_ratio,control_mass,decidedness_floor,literal_above_floor,semantic_above_floor,lean,top1_token_id,top1_decoded,top1_prob,top1_class,top1_nonliteral_token_id,top1_nonliteral_decoded,top1_nonliteral_prob,top1_nonliteral_class,top1_answerlike_nl_decoded,top1_answerlike_nl_prob,answerlike_exceeds_literal,answerlike_materially_exceeds_literal,top1_is_answerlike_nonliteral
0,1,NO,0.004020936164875477,0.9761373046155292,0.9801582407804046,0.004021558953872833,0.9761379445498576,0.9801595035037304,1.262723325664743e-06,1.2882851698102945e-06,0.0002631282835664911,0.0013156414178324555,True,True,-5.49208850487529,5664, NO,0.9754436016082764,literal,6771, Let,0.01391395553946495,other,,,False,False,False
1,0,YES,0.8760884142241314,0.05598692940639047,0.9320753436305219,0.8760884924565182,0.05598695269939097,0.9320754451559092,1.015253872189405e-07,1.0892401339948494e-07,0.006960167006543939,0.03480083503271969,True,True,2.7503487552712262,14080, YES,0.8757081627845764,literal,6771, Let,0.04359893873333931,other,,,False,False,False
2,0,YES,0.8863936315286276,0.0036211460796969574,0.8900147776083246,0.8863940386510099,0.0036211721579404886,0.8900152108089503,4.332006258916124e-07,4.867341945217164e-07,0.0017038606509499708,0.008519303254749854,True,True,5.500370558711955,14080, YES,0.8856765031814575,literal,6771, Let,0.05661940202116966,other,,,False,False,False
3,0,YES,0.9968946881492954,9.581611242298578e-05,0.9969905042617183,0.9968947285156549,9.581725720036326e-05,0.9969905457728552,4.151113671842997e-08,4.1636441411414836e-08,0.0002658864029876584,0.0013294320149382919,True,True,9.249969545226145,14080, YES,0.9966625571250916,literal,6771, Let,0.0013223524438217282,other,,,False,False,False
4,0,YES,0.9398706483997492,0.032160607023353466,0.9720312554231026,0.93987072341633,0.032160641166598655,0.9720313645829287,1.0915982609643828e-07,1.1230073671748708e-07,0.0001058671966456804,0.000529335983228402,True,True,3.374999938442878,14080, YES,0.9396527409553528,literal,6771, Let,0.01950187049806118,other,,,False,False,False
5,0,YES,0.9955264734114948,0.00020255678804991572,0.9957290301995447,0.9955264745066477,0.00020255688579977986,0.9957290313924474,1.1929028673198985e-09,1.1980195727354058e-09,4.947248647002202e-05,0.0002473624323501101,True,True,8.500006708230773,14080, YES,0.995468020439148,literal,6771, Let,0.0031683563720434904,other,,,False,False,False
6,0,YES,0.9998843815426828,8.314434202011969e-07,0.999885212986103,0.9998843816088527,8.314453210749764e-07,0.9998852130541738,6.807071472501408e-11,6.807852925609788e-11,3.8588580795196315e-06,1.929429039759816e-05,True,True,13.999985758219614,14080, YES,0.9998781681060791,literal,6771, Let,6.60484583931975e-05,other,,,False,False,False
7,0,YES,0.9993571551930172,3.533573215579792e-05,0.9993924909251729,0.9993571554609293,3.533574774590529e-05,0.9993924912086752,2.8350223067643544e-10,2.8367456554930426e-10,8.548252378861618e-06,4.274126189430809e-05,True,True,10.249972783803727,14080, YES,0.9993258714675903,literal,6771, Let,0.00043045214260928333,other,,,False,False,False
8,0,YES,0.7543383833816417,0.061900256491596826,0.8162386398732385,0.7543390586545763,0.06190053737378221,0.8162395960283585,9.561551198924369e-07,1.171416143740668e-06,0.006221425219459735,0.031107126097298675,True,True,2.500316728318843,14080, YES,0.7537293434143066,literal,6771, Let,0.07010774314403534,other,,,False,False,False
9,0,YES,0.9642445864473065,0.0034774909475608086,0.9677220773948673,0.9642446918103463,0.003477502890106477,0.9677221947004528,1.1730558560225433e-07,1.2121825919074203e-07,0.0005562268960465644,0.0027811344802328216,True,True,5.625033940857103,14080, YES,0.9639569520950317,literal,6771, Let,0.022670095786452293,other,,,False,False,False
10,0,YES,0.9982119658299052,7.875739222702734e-06,0.9982198415691279,0.9982119713381025,7.875843361657769e-06,0.9982198471814642,5.612336126476037e-09,5.622344790956929e-09,0.00010794836822943114,0.0005397418411471557,True,True,11.749933746526057,14080, YES,0.9981661438941956,literal,6771, Let,0.0010314027313143015,other,,,False,False,False
11,0,YES,0.9238293347740677,0.011627688256372755,0.9354570230304404,0.9238294362091973,0.011627700245499093,0.9354571364546964,1.1342425597958453e-07,1.2125009828045689e-07,0.0016015233745909564,0.008007616872954782,True,True,4.3751381792718895,14080, YES,0.9236399531364441,literal,23754," ?

",0.027891511097550392,other,,,False,False,False
