model,sensitivity_verdict,n_total,literal_above_floor_coverage,semantic_above_floor_coverage,recovered_only_by_semantic_coverage,frac_answerlike_exceeds_literal,frac_answerlike_materially_exceeds_literal,frac_top1_nonliteral,frac_top1_answerlike_nonliteral,mean_literal_decidedness,mean_semantic_decidedness,gate_max_abs_prob_drift_vs_locked_csv,gate_max_abs_prob_drift_vs_frozen_canary
mlx-community/Qwen3-1.7B-4bit,literal-panel-basically-complete,200,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.999225,0.999229,0.0,0.0
mlx-community/Llama-3.2-3B-Instruct-4bit,literal-panel-basically-complete,200,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.930738,0.930995,0.0,0.0
mlx-community/gemma-3-4b-it-4bit,literal-panel-basically-complete,200,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.998164,0.998165,0.0,0.0
mlx-community/Phi-3.5-mini-instruct-4bit,literal-panel-basically-complete,200,0.185,0.185,0.0,0.0,0.0,0.195,0.0,0.665186,0.665361,0.0,0.0
mlx-community/Phi-4-mini-instruct-4bit,literal-panel-basically-complete,200,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.966548,0.966668,0.0,0.0
mlx-community/Mistral-7B-Instruct-v0.3-4bit,literal-panel-basically-complete,200,0.995,0.995,0.0,0.0,0.0,0.535,0.0,0.474818,0.474837,0.0,0.0
mlx-community/Qwen2.5-7B-Instruct-4bit,literal-panel-basically-complete,200,0.98,0.98,0.0,0.0,0.0,0.585,0.0,0.428416,0.428424,0.0,0.0
mlx-community/Qwen3-8B-4bit,literal-panel-basically-complete,200,0.995,0.995,0.0,0.0,0.0,0.015,0.0,0.938843,0.938844,0.0,0.0
mlx-community/Llama-3.1-8B-Instruct-4bit,literal-panel-basically-complete,200,0.995,0.995,0.0,0.0,0.0,0.0,0.0,0.919885,0.920089,0.0,0.0
mlx-community/Mistral-Nemo-Instruct-2407-4bit,literal-panel-basically-complete,200,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.995393,0.995393,0.0,0.0
