sample_idx,label_B,gold_yes_no,p_yes,p_no,decidedness,semantic_yes_mass,semantic_no_mass,semantic_decidedness,semantic_offliteral_mass,control_mass,decidedness_floor,above_floor,lean,c_pred_yes_no,top1_token_id,top1_decoded,top1_normalized,top1_prob,prompt_strategy_name,anchor_freegen_pred,anchor_match
0,1,NO,0.320302716227161,0.5912459086709987,0.9115486248981597,0.32038536051978006,0.591367082910339,0.9117524434301191,0.0002038185319593877,0.03554798324668243,0.17773991623341215,True,-0.6129654831466291,NO,5782, NO,no,0.5871570110321045,raw_passthrough,,
1,0,YES,0.48837789212757343,0.44059200305474633,0.9289698951823198,0.4885117425866008,0.4406877462113892,0.92919948879799,0.00022959361567020942,0.040623401180186994,0.20311700590093495,True,0.10297019121961412,YES,14410, YES,yes,0.47965341806411743,raw_passthrough,,
2,0,YES,0.3547176694992231,0.5529334624879993,0.9076511319872225,0.3548149738563616,0.5530730688765102,0.9078880427328718,0.00023691074564935466,0.03158607216543367,0.15793036082716838,True,-0.44391549741043157,NO,5782, NO,no,0.5477487444877625,raw_passthrough,,
3,0,YES,0.216969108455487,0.7492462779899824,0.9662153864454694,0.21703986833827563,0.7493986115700366,0.9664384799083122,0.00022309346284277165,0.013957014213090563,0.06978507106545281,True,-1.239312752474784,NO,5782, NO,no,0.7436299920082092,raw_passthrough,,
4,0,YES,0.4971398030565979,0.4504434631010099,0.9475832661576078,0.49729753601709165,0.4505195988519892,0.9478171348690809,0.0002338687114731286,0.018611661833758925,0.09305830916879462,True,0.09863870935528989,YES,14410, YES,yes,0.4897623360157013,raw_passthrough,,
5,0,YES,0.2989536626382687,0.6368775153292745,0.9358311779675432,0.2990788377817308,0.6370004938968217,0.9360793316785525,0.0002481537110092802,0.042074182758159245,0.21037091379079623,True,-0.756288766527055,NO,5782, NO,no,0.6315965056419373,raw_passthrough,,
6,0,YES,0.2779825866282408,0.6683952617150908,0.9463778483433316,0.2780963126211417,0.6685765292851809,0.9466728419063226,0.0002949935629910083,0.025617570689982577,0.1280878534499129,True,-0.877321233997153,NO,5782, NO,no,0.65944904088974,raw_passthrough,,
7,0,YES,0.4829859779201797,0.44937322022713033,0.93235919814731,0.4831622516541787,0.44949181652468795,0.9326540681788666,0.0002948700315565933,0.034643193814317935,0.17321596907158968,True,0.07213385409396311,YES,14410, YES,yes,0.47387370467185974,raw_passthrough,,
8,0,YES,0.3055206698791153,0.6289152746530817,0.934435944532197,0.30560121893487013,0.6290421780331985,0.9346433969680686,0.00020745243587161344,0.029629994246057126,0.14814997123028562,True,-0.7219791136396907,NO,5782, NO,no,0.6225769519805908,raw_passthrough,,
9,0,YES,0.1691545120684168,0.7560446599288753,0.9251991719972921,0.16920288489892388,0.7561418990894291,0.925344783988353,0.00014561199106088996,0.02890349657749297,0.14451748288746485,True,-1.4972878785855006,NO,5782, NO,no,0.7491797804832458,raw_passthrough,,
10,0,YES,0.34474212254190206,0.5639666124190512,0.9087087349609533,0.3448458645085034,0.5641348830309507,0.9089807475394541,0.0002720125785008465,0.030589681851353273,0.15294840925676637,True,-0.4921983852634395,NO,5782, NO,no,0.5614199638366699,raw_passthrough,,
11,0,YES,0.48868016593769426,0.43572570463629745,0.9244058705739917,0.4888676801153492,0.43579545219058513,0.9246631323059343,0.00025726173194262625,0.03476539282412647,0.17382696412063234,True,0.11469529053391851,YES,14410, YES,yes,0.48325321078300476,raw_passthrough,,
12,0,YES,0.4380831259950355,0.4928728767854409,0.9309560027804764,0.4381839902031373,0.49297352101552816,0.9311575112186654,0.000201508438189002,0.029727463033829574,0.14863731516914785,True,-0.11784260662649672,NO,5782, NO,no,0.4899989664554596,raw_passthrough,,
13,1,NO,0.033582004678237354,0.8909845711302182,0.9245665758084556,0.03360797508948474,0.8911172226047017,0.9247251976941865,0.00015862188573090297,0.03368568398726405,0.16842841993632024,True,-3.2783367624949045,NO,5782, NO,no,0.883717954158783,raw_passthrough,,
14,0,YES,0.5955506706723099,0.28839941387747103,0.883950084549781,0.5956534310419894,0.28845396089092956,0.884107391932919,0.00015730738313801673,0.07822684345166898,0.3911342172583449,True,0.7251401013801388,YES,14410, YES,yes,0.5882154107093811,raw_passthrough,,
15,1,NO,0.6057756987320317,0.34348850416222376,0.9492642028942555,0.6059174026796668,0.3435722155416454,0.9494896182213122,0.00022541532705666611,0.026772094452316236,0.13386047226158118,True,0.5673561391202225,YES,14410, YES,yes,0.5982146859169006,raw_passthrough,,
16,1,NO,0.3078764691235847,0.5342242647644184,0.8421007338880031,0.3080126225502873,0.5344174690972441,0.8424300916475314,0.0003293577595282482,0.10402040883293846,0.5201020441646923,True,-0.551117094016733,NO,5782, NO,no,0.5281859636306763,raw_passthrough,,
17,0,YES,0.6908158753612952,0.08504612334954231,0.7758619987108375,0.6909614057540402,0.08506958195419267,0.7760309877082329,0.00016898899739536954,0.12082758048746331,0.6041379024373166,True,2.0946795901605126,YES,14410, YES,yes,0.6778569221496582,raw_passthrough,,
18,1,NO,0.29923162146587856,0.54488948751316,0.8441211089790386,0.2993676324844325,0.5450748451749892,0.8444424776594217,0.00032136868038312727,0.08826435629512858,0.4413217814756429,True,-0.5993650716614717,NO,5782, NO,no,0.5410335063934326,raw_passthrough,,
19,1,NO,0.07141037070277889,0.8542028006530131,0.925613171355792,0.07145000469458682,0.8543259142246731,0.9257759189192599,0.0001627475634679021,0.03188296326691289,0.15941481633456445,True,-2.481725530338335,NO,5782, NO,no,0.849942147731781,raw_passthrough,,
20,1,NO,0.2521161318545637,0.6211418938605675,0.8732580257151312,0.25231267962744375,0.6214304372339559,0.8737431168613996,0.00048509114626837935,0.05767146776401899,0.28835733882009495,True,-0.9016697263100976,NO,5782, NO,no,0.6101148724555969,raw_passthrough,,
21,0,YES,0.742731330054994,0.2296514321847667,0.9723827622397607,0.7428169326869049,0.22968218565674103,0.9724991183436459,0.00011635610388516238,0.01608975628857448,0.0804487814428724,True,1.1737717306473008,YES,14410, YES,yes,0.738402783870697,raw_passthrough,,
22,1,NO,0.40819210583049426,0.545387982413672,0.9535800882441663,0.4082931812068794,0.54552145815948,0.9538146393663595,0.00023455112219317176,0.019472041471554583,0.09736020735777291,True,-0.2897595245091014,NO,5782, NO,no,0.5399432182312012,raw_passthrough,,
23,0,YES,0.4874287996208295,0.3100558964887341,0.7974846961095636,0.48756660482906056,0.3101290890314088,0.7976956938604693,0.00021099775090571704,0.15463588305036186,0.7731794152518092,True,0.452391635231198,YES,14410, YES,yes,0.474661260843277,raw_passthrough,,
24,1,NO,0.08389359954207976,0.8735707141831881,0.9574643137252679,0.08392027644151565,0.8736869833085072,0.9576072597500229,0.00014294602475506402,0.022889520425769742,0.11444760212884872,True,-2.343039757457994,NO,5782, NO,no,0.8676319718360901,raw_passthrough,,
25,0,YES,0.8045318274271267,0.11560827949989516,0.9201401069270219,0.8046350476200793,0.11562840757792792,0.9202634551980072,0.00012334827098536838,0.039117589987675075,0.19558794993837536,True,1.9400529517465979,YES,14410, YES,yes,0.7981327772140503,raw_passthrough,,
26,0,YES,0.5474596462427144,0.3921354110068478,0.9395950572495622,0.5475830681954721,0.39221954112213364,0.9398026093176057,0.00020755206804357051,0.020803950934314752,0.10401975467157376,True,0.3336815370977311,YES,14410, YES,yes,0.5398918390274048,raw_passthrough,,
27,0,YES,0.7062859450707037,0.2384529360367651,0.9447388811074688,0.7064191784191169,0.2384866710806608,0.9449058494997777,0.00016696839230889715,0.023953766285678378,0.1197688314283919,True,1.0858482191616043,YES,14410, YES,yes,0.6957120895385742,raw_passthrough,,
28,0,YES,0.7269202491297619,0.08668548713109203,0.813605736260854,0.7270476996187127,0.08670586413966119,0.8137535637583739,0.00014782749751995894,0.09569408390957036,0.4784704195478518,True,2.126530294945804,YES,14410, YES,yes,0.7127243280410767,raw_passthrough,,
29,0,YES,0.2974758909876982,0.41887141759480073,0.716347308582499,0.29755392991117885,0.41892951292912617,0.7164834428403051,0.00013613425780611976,0.1508013158755735,0.7540065793778674,False,-0.3422308105703465,NO,5782, NO,no,0.41566261649131775,raw_passthrough,,
30,1,NO,0.10523186998170786,0.8408105655527152,0.946042435534423,0.10529689774519058,0.8409790884181536,0.9462759861633442,0.00023355062892116418,0.023550822444319552,0.11775411222159776,True,-2.078200184527998,NO,5782, NO,no,0.8311018943786621,raw_passthrough,,
31,0,YES,0.3554526056313989,0.5905582905935489,0.9460108962249478,0.3555390703603605,0.5906320668471152,0.9461711372074757,0.00016024098252787056,0.025229525668224534,0.12614762834112267,True,-0.5076764218615007,NO,5782, NO,no,0.5859525203704834,raw_passthrough,,
32,1,NO,0.12965074644762353,0.8179949348714786,0.9476456813191021,0.1296911900200011,0.8181046443647828,0.9477958343847839,0.00015015306568177955,0.022429965696340107,0.11214982848170053,True,-1.8420118751148253,NO,5782, NO,no,0.8115952014923096,raw_passthrough,,
33,0,YES,0.8147764659734094,0.08959780031307218,0.9043742662864815,0.8148903470809226,0.08961831646803242,0.904508663548955,0.0001343972624734402,0.05449695268871785,0.27248476344358924,True,2.2075830311292357,YES,14410, YES,yes,0.805656373500824,raw_passthrough,,
34,1,NO,0.2799761516776016,0.677164624513523,0.9571407761911246,0.2800463257742802,0.6773642461430205,0.9574105719173007,0.00026979572617613634,0.02165270890101781,0.10826354450508904,True,-0.8832099840592269,NO,5782, NO,no,0.6731800436973572,raw_passthrough,,
35,0,YES,0.5354434734745155,0.3637789719915645,0.89922244546608,0.5355602544157622,0.36383591596245335,0.8993961703782155,0.00017372491213552,0.04256461111559158,0.2128230555779579,True,0.3865488625102385,YES,14410, YES,yes,0.5258389115333557,raw_passthrough,,
36,0,YES,0.3341420148972247,0.6192948036059533,0.9534368185031781,0.33421181880007944,0.6193897497310079,0.9536015685310874,0.00016475002790927729,0.024804153506668494,0.12402076753334247,True,-0.6170153202429958,NO,5782, NO,no,0.6103809475898743,raw_passthrough,,
37,1,NO,0.32667810523707885,0.6052346042931731,0.931912709530252,0.32676813218495976,0.6053631660915295,0.9321312982764893,0.00021858874623736924,0.03273524997218305,0.16367624986091525,True,-0.6166408601397305,NO,5782, NO,no,0.6007495522499084,raw_passthrough,,
38,0,YES,0.6203345690009883,0.3050324461268019,0.9253670151277902,0.6205069794517181,0.30508090960901746,0.9255878890607355,0.0002208739329453424,0.03961807468711079,0.19809037343555394,True,0.7098408082189068,YES,14410, YES,yes,0.6088972687721252,raw_passthrough,,
39,1,NO,0.09327577306612511,0.8612157657169064,0.9544915387830315,0.09330764624311635,0.8613324729090994,0.9546401191522158,0.0001485803691843035,0.025459180204056076,0.12729590102028038,True,-2.2227846648935965,NO,5782, NO,no,0.85743647813797,raw_passthrough,,
40,0,YES,0.8791623244251241,0.07430182591716061,0.9534641503422847,0.8793057841003945,0.07432477293509132,0.9536305570354858,0.00016640669320111545,0.02014758880917969,0.10073794404589845,True,2.4708340236992887,YES,14410, YES,yes,0.8724039196968079,raw_passthrough,,
41,1,NO,0.14672927135734426,0.8068633926262692,0.9535926639836134,0.14678006127093812,0.8069711475697945,0.9537512088407326,0.00015854485711919164,0.024754707939680945,0.12377353969840472,True,-1.7045651785675737,NO,5782, NO,no,0.8013243079185486,raw_passthrough,,
42,1,NO,0.3762619191547856,0.5525950746845183,0.9288569938393039,0.3763566907322234,0.552714643817299,0.9290713345495223,0.00021434071021841916,0.03411589268205678,0.1705794634102839,True,-0.3843400050857721,NO,5782, NO,no,0.5471038222312927,raw_passthrough,,
43,1,NO,0.035368898020578854,0.8809290083314067,0.9162979063519856,0.03538447994682187,0.8810392813566219,0.9164237613034438,0.00012585495145822634,0.021935413683346318,0.10967706841673158,True,-3.215144194913963,NO,5782, NO,no,0.8745661973953247,raw_passthrough,,
