sample_idx,label_B,gold_yes_no,p_yes,p_no,decidedness,semantic_yes_mass,semantic_no_mass,semantic_decidedness,semantic_offliteral_mass,control_mass,decidedness_floor,above_floor,lean,c_pred_yes_no,top1_token_id,top1_decoded,top1_normalized,top1_prob,prompt_strategy_name,anchor_freegen_pred,anchor_match
0,1,NO,0.40343888840834197,0.5857017269381695,0.9891406153465114,0.4034397444606411,0.5857027598810602,0.9891425043417014,1.8889951899359048e-06,4.115608156662683e-08,2.0578040783313414e-07,True,-0.3727856391125854,NO,16071,NO,no,0.5766605734825134,apply_chat_template,NO,True
1,0,YES,0.7948241640415308,0.20091218472172453,0.9957363487632553,0.7948249607068745,0.2009125826181509,0.9957375433250254,1.1945617700570565e-06,2.542009153301232e-08,1.2710045766506161e-07,True,1.3752529922187837,YES,51935,YES,yes,0.7869018316268921,apply_chat_template,YES,True
2,0,YES,0.9403522261732498,0.05779939858162691,0.9981516247548766,0.9403527072633838,0.05779953060506857,0.9981522378684524,6.131135757980744e-07,2.3582212215011208e-08,1.1791106107505604e-07,True,2.789276143294954,YES,51935,YES,yes,0.9339809417724609,apply_chat_template,YES,True
3,0,YES,0.06845034488275648,0.9264066264364493,0.9948569713192058,0.0684504829950351,0.9264070371121962,0.9948575201072313,5.487880254673172e-07,1.6596421371698787e-08,8.298210685849393e-08,True,-2.6052046694844644,NO,16071,NO,no,0.9158990979194641,apply_chat_template,NO,True
4,0,YES,0.25862846670475825,0.7276466983176598,0.9862751650224181,0.25862917225279114,0.7276472951919591,0.9862764674447503,1.3024223322055661e-06,1.0011964081150192e-07,5.005982040575096e-07,True,-1.034423085542943,NO,16071,NO,no,0.7213931679725647,apply_chat_template,NO,True
5,0,YES,0.4846608066232818,0.5073298426004218,0.9919906492237036,0.48466172412779795,0.507330486312466,0.991992210440264,1.5612165603640094e-06,3.2861878734114655e-08,1.6430939367057326e-07,True,-0.045712090699983235,NO,16071,NO,no,0.5020044445991516,apply_chat_template,NO,True
6,0,YES,0.9980981612096445,0.0014011541258299258,0.9994993153354744,0.9980983785556289,0.0014011846966382757,0.9994995632522672,2.479167927615933e-07,1.2138470029362844e-08,6.069235014681422e-08,True,6.56855535608435,YES,51935,YES,yes,0.9930561184883118,apply_chat_template,YES,True
7,0,YES,0.8059630316122863,0.19102463605030015,0.9969876676625865,0.8059643481770333,0.19102496387683415,0.9969893120538675,1.644391281030444e-06,2.4901470840577987e-08,1.2450735420288994e-07,True,1.439635470679355,YES,51935,YES,yes,0.7902079820632935,apply_chat_template,YES,True
8,0,YES,0.8663949273145519,0.1310935844843406,0.9974885117988925,0.8663956130719357,0.13109379110976455,0.9974894041817002,8.923828076490281e-07,2.1804679793028164e-08,1.0902339896514082e-07,True,1.888429387237038,YES,51935,YES,yes,0.8566297888755798,apply_chat_template,YES,True
9,0,YES,0.5602268678906306,0.4352882307791807,0.9955150986698114,0.5602281010773323,0.43528876901078195,0.9955168700881143,1.7714183029315933e-06,3.92454836159152e-08,1.96227418079576e-07,True,0.2523334117635706,YES,51935,YES,yes,0.5483897924423218,apply_chat_template,YES,True
