sample_idx,label_B,gold_yes_no,p_yes,p_no,decidedness,semantic_yes_mass,semantic_no_mass,semantic_decidedness,semantic_offliteral_mass,control_mass,decidedness_floor,above_floor,lean,c_pred_yes_no,top1_token_id,top1_decoded,top1_normalized,top1_prob,prompt_strategy_name,anchor_freegen_pred,anchor_match
0,1,NO,0.08190287914771943,0.16466707310985385,0.24656995225757328,0.08206304829858554,0.16470109039492742,0.24676413869351296,0.0001941864359396861,0.7045672004097357,3.522836002048679,False,-0.6983915521191646,NO,13,"
",,0.6992629766464233,raw_passthrough,,
1,0,YES,0.5488952494270052,0.04157330083765487,0.59046855026466,0.5490063279301227,0.04157786673623101,0.5905841946663537,0.00011564440169364865,0.3952172060439325,1.9760860302196626,False,2.580449466347351,YES,22483,YES,yes,0.5351861119270325,raw_passthrough,,
2,0,YES,0.6706085232872283,0.005177442156806933,0.6757859654440352,0.6706985065468889,0.005177652606984484,0.6758761591538733,9.019370983809338e-05,0.3223669021970791,1.6118345109853953,False,4.863874401508188,YES,22483,YES,yes,0.5641742944717407,raw_passthrough,,
3,0,YES,0.6662669048419048,0.03503936616203873,0.7013062710039435,0.6665511757672279,0.035045056048218046,0.701596231815446,0.00028996081150245434,0.2945476527562779,1.4727382637813897,False,2.9452181713305112,YES,22483,YES,yes,0.6020726561546326,raw_passthrough,,
4,0,YES,0.7560839821671834,0.00899175228531135,0.7650757344524948,0.7564651848375852,0.00899381975967257,0.7654590045972578,0.000383270144763026,0.22469809721831385,1.1234904860915693,False,4.431844712992446,YES,22483,YES,yes,0.6683107018470764,raw_passthrough,,
5,0,YES,0.6498409840278327,0.01274436804845891,0.6625853520762917,0.6505562308147486,0.012748793030360403,0.6633050238451089,0.0007196717688172649,0.32910039295796123,1.6455019647898061,False,3.931638240599166,YES,21143,YES,yes,0.3384481370449066,raw_passthrough,,
6,0,YES,0.8088411618482496,0.0038858052845469615,0.8127269671327966,0.8091651589966711,0.003886358791894258,0.8130515177885653,0.00032455065576875164,0.18423031697088751,0.9211515848544376,False,5.338272315858408,YES,22483,YES,yes,0.7494670748710632,raw_passthrough,,
7,0,YES,0.7083726553746601,0.005126786017012108,0.7134994413916722,0.7085931112231182,0.005127319702340568,0.7137204309254588,0.00022098953378657527,0.28042813620320756,1.4021406810160377,False,4.9284913489862,YES,22483,YES,yes,0.6874023675918579,raw_passthrough,,
8,0,YES,0.0060132631679294946,0.8754802572530025,0.881493520420932,0.00603094264781133,0.875557982748872,0.8815889253966833,9.540497575133422e-05,0.07967299132030375,0.39836495660151877,True,-4.980805043459037,NO,11698,NO,no,0.8135861754417419,raw_passthrough,,
9,0,YES,0.03182341912128095,0.7567259077977724,0.7885493269190533,0.031857341720382654,0.7567917089731421,0.7886490506935248,9.972377447142744e-05,0.19620849383591363,0.9810424691795682,False,-3.1687986418619287,NO,11698,NO,no,0.7221683263778687,raw_passthrough,,
10,0,YES,4.0115742499624574e-05,0.4107656706387388,0.41080578638123844,4.118617141781605e-05,0.41087485352030373,0.4109160396917215,0.00011025331048308828,0.5809342521536877,2.9046712607684384,False,-9.234009323216734,NO,13,"
",,0.57840895652771,raw_passthrough,,
11,0,YES,0.058164968224446056,0.060679297404931276,0.11884426562937733,0.05834854670024181,0.06068859752592645,0.11903714422616826,0.00019287859679092967,0.8133379795879565,4.066689897939782,False,-0.042319322751624394,NO,13,"
",,0.8116419911384583,raw_passthrough,,
12,0,YES,0.6874608934995194,0.014989780996273794,0.7024506744957932,0.6877797215049049,0.014990965601763107,0.7027706871066679,0.0003200126108746648,0.29228741373788186,1.4614370686894094,False,3.8256362436557256,YES,22483,YES,yes,0.578721284866333,raw_passthrough,,
13,1,NO,3.95085924485665e-07,0.7635592921278658,0.7635596872137903,5.312767469409956e-07,0.7635690483185997,0.7635695795953467,9.892381556353413e-06,0.23480440374208938,1.1740220187104469,False,-14.474395535249675,NO,11698,NO,no,0.6976209282875061,raw_passthrough,,
14,0,YES,0.5324588813782611,0.2547242588370864,0.7871831402153475,0.5329862072363603,0.25476076120528324,0.7877469684416435,0.0005638282262959704,0.15627602572477794,0.7813801286238897,True,0.7373240543340523,YES,22483,YES,yes,0.47964251041412354,raw_passthrough,,
15,1,NO,0.0014662538103777933,0.29121896011929493,0.2926852139296727,0.0014807767353079287,0.2913763987618641,0.29285717549717205,0.00017196156749932356,0.6008952422287436,3.004476211143718,False,-5.291364704118843,NO,13,"
",,0.5935152769088745,raw_passthrough,,
16,1,NO,0.7441445949798435,0.03785363642063544,0.781998231400479,0.7442577440171736,0.03785475232809606,0.7821124963452697,0.00011426494479072069,0.21473245058591975,1.0736622529295987,False,2.9785083142260538,YES,22483,YES,yes,0.7297564744949341,raw_passthrough,,
17,0,YES,0.8794707710621879,0.00254849234726251,0.8820192634094504,0.8795423020144857,0.002548694429152744,0.8820909964436384,7.173303418805954e-05,0.11705139072393882,0.5852569536196941,True,5.843818381695787,YES,22483,YES,yes,0.5895847082138062,raw_passthrough,,
18,1,NO,0.0075505186799489366,0.7480655437148016,0.7556160623947505,0.007577860856956699,0.7481705303357116,0.7557483911926682,0.00013232879791769125,0.21768568812361597,1.0884284406180798,False,-4.595874339059442,NO,11698,NO,no,0.6849787831306458,raw_passthrough,,
19,1,NO,3.594998584255382e-05,0.5364637476727694,0.5364996976586119,3.722391767407591e-05,0.5364963909585263,0.5365336148762003,3.391721758838617e-05,0.44488230645865146,2.2244115322932574,False,-9.610625548692251,NO,11698,NO,no,0.45779573917388916,raw_passthrough,,
20,1,NO,0.6115774224999768,0.014658926944491668,0.6262363494444685,0.6120888920426759,0.014661771734977222,0.6267506637776531,0.0005143143331846067,0.36345953171183154,1.8172976585591578,False,3.730992060206275,YES,22483,YES,yes,0.5425438284873962,raw_passthrough,,
21,0,YES,0.6614526192715857,0.0024628810234901266,0.6639155002950758,0.661648630804746,0.002463567230122067,0.6641121980348681,0.00019669773979225091,0.334112427726189,1.6705621386309448,False,5.593106541943657,YES,22483,YES,yes,0.6020200848579407,raw_passthrough,,
22,1,NO,0.7065529608516954,0.010474258233330147,0.7170272190850255,0.7069416784391895,0.01047690557939887,0.7174185840185884,0.0003913649335628433,0.2783135736619683,1.3915678683098416,False,4.211477511248635,YES,22483,YES,yes,0.6240643858909607,raw_passthrough,,
23,0,YES,0.7511224481131649,0.027718293449822795,0.7788407415629877,0.7514811179983736,0.027721067398891235,0.7792021853972648,0.0003614438342771642,0.2179767495101259,1.0898837475506296,False,3.2994760766265605,YES,22483,YES,yes,0.6054078340530396,raw_passthrough,,
24,1,NO,9.270129142735506e-05,0.7526343968715992,0.7527270981630265,9.31697308154851e-05,0.7526512993345823,0.7527444690653978,1.737090237130534e-05,0.24371256908905437,1.218562845445272,False,-9.001952445635862,NO,11698,NO,no,0.6393786668777466,raw_passthrough,,
25,0,YES,0.7917909557145322,0.0005529991500807796,0.792343954864613,0.7918786364976779,0.0005532021430137805,0.7924318386406917,8.788377607871212e-05,0.20568183337220025,1.0284091668610014,False,7.266696224748356,YES,22483,YES,yes,0.7348716259002686,raw_passthrough,,
26,0,YES,0.47766380263783503,0.03639782221503651,0.5140616248528715,0.47786646288046114,0.036400260940342495,0.5142667238208036,0.0002050989679320825,0.46549305011437225,2.327465250571861,False,2.574398199647752,YES,13,"
",,0.46208876371383667,raw_passthrough,,
27,0,YES,0.12172105093122809,0.07457367172764862,0.1962947226588767,0.12189361903441465,0.07458615859129275,0.1964797776257074,0.0001850549668306889,0.6732684504151119,3.366342252075559,False,0.4899444399785713,YES,13,"
",,0.6705065369606018,raw_passthrough,,
28,0,YES,0.884146814882115,0.0009972012759122961,0.8851440161580273,0.8841702947467367,0.000997232093288994,0.8851675268400256,2.3510681998351046e-05,0.11455102073035528,0.5727551036517764,True,6.78742577586824,YES,22483,YES,yes,0.8181878924369812,raw_passthrough,,
29,0,YES,0.847333947844163,0.02832546206070674,0.8756594099048698,0.8482032523497515,0.028331369690173597,0.876534622039925,0.0008752121350552589,0.11155506280425817,0.5577753140212909,True,3.398333768672199,YES,22483,YES,yes,0.6179813146591187,raw_passthrough,,
30,1,NO,0.0004062346298994157,0.5493874110179604,0.5497936456478598,0.00041138447491226304,0.5495748126203601,0.5499861970952724,0.00019255144741259222,0.41050519190846857,2.0525259595423426,False,-7.209628237031089,NO,11698,NO,no,0.47383618354797363,raw_passthrough,,
31,0,YES,0.49128707609997946,0.03490277919138407,0.5261898552913635,0.4915749372038496,0.03490585699858778,0.5264807942024374,0.00029093891107390135,0.4569594917224066,2.284797458612033,False,2.64446217425718,YES,13,"
",,0.4556105136871338,raw_passthrough,,
32,1,NO,6.982196917665329e-06,0.8117630484803158,0.8117700306772334,7.4318372366845124e-06,0.8118074687384264,0.8118149005756631,4.486989842966693e-05,0.18434252702275317,0.9217126351137659,False,-11.663600009218063,NO,11698,NO,no,0.6603922247886658,raw_passthrough,,
33,0,YES,0.634176270745229,0.0017685202955561863,0.6359447910407852,0.6343302575519605,0.0017687839077006424,0.6360990414596611,0.00015425041887595636,0.3627209303314439,1.8136046516572195,False,5.882183739057892,YES,22483,YES,yes,0.559407114982605,raw_passthrough,,
34,1,NO,8.625317963147083e-06,0.6585468700482124,0.6585554953661756,9.344786828153085e-06,0.6586165071266092,0.6586258519134374,7.035654726172957e-05,0.32202001793085777,1.610100089654289,False,-11.243089031156403,NO,11698,NO,no,0.5954425930976868,raw_passthrough,,
35,0,YES,0.4976332700061903,0.00629046179540893,0.5039237318015992,0.4977206032309645,0.0062909941142913406,0.5040115973452558,8.78655436565845e-05,0.4946634332734813,2.4733171663674063,False,4.3708289145663,YES,13,"
",,0.49361151456832886,raw_passthrough,,
36,0,YES,0.7050637812353671,0.03146499634272004,0.7365287775780871,0.7053365594399825,0.03146667983432079,0.7368032392743034,0.00027446169621625494,0.26111141877119803,1.3055570938559902,False,3.1094125677815403,YES,22483,YES,yes,0.4413723945617676,raw_passthrough,,
37,1,NO,0.15005322380693542,0.7513220382752479,0.9013752620821833,0.15031990323329236,0.7514348745105712,0.9017547777438636,0.00037951566168026307,0.09156398228036694,0.4578199114018347,True,-1.6108443159216004,NO,11698,NO,no,0.6905378103256226,raw_passthrough,,
38,0,YES,0.39983471570894835,0.02459434410432948,0.42442905981327783,0.40003440086283115,0.024597042972048053,0.4246314438348792,0.00020238402160138724,0.5533028794242902,2.766514397121451,False,2.7885347489013315,YES,13,"
",,0.5513954162597656,raw_passthrough,,
39,1,NO,4.7397387886102815e-06,0.6075656847917799,0.6075704245305684,5.502666107512141e-06,0.607597887148139,0.6076033898142466,3.296528367813245e-05,0.34286570271275757,1.7143285135637878,False,-11.761233334185212,NO,11698,NO,no,0.5788516402244568,raw_passthrough,,
40,0,YES,0.6050963760426384,0.0010097011104504006,0.6061060771530888,0.6052424880723823,0.001009956168151833,0.6062524442405341,0.00014636708744530935,0.390641168515955,1.953205842579775,False,6.395733386789312,YES,22483,YES,yes,0.5157298445701599,raw_passthrough,,
41,1,NO,4.348770371281896e-06,0.6337913469051273,0.6337956956754985,4.612243288236971e-06,0.6338032740257369,0.6338078862690251,1.2190593526528737e-05,0.36306882859019857,1.815344142950993,False,-11.889581711603382,NO,11698,NO,no,0.5747666358947754,raw_passthrough,,
42,1,NO,0.5851296906548669,0.010181211811186586,0.5953109024660534,0.5852421472720505,0.010182292215983317,0.5954244394880338,0.00011353702198035887,0.40205238577617314,2.010261928880866,False,4.051289473527273,YES,22483,YES,yes,0.4822043478488922,raw_passthrough,,
43,1,NO,1.4782483549477879e-06,0.7265675831830549,0.7265690614314099,1.6391430565187277e-06,0.7265876766209072,0.7265893157639637,2.0254332553815146e-05,0.26799718222814184,1.339985911140709,False,-13.105228264027103,NO,11698,NO,no,0.6999417543411255,raw_passthrough,,
44,0,YES,0.6451412668357079,0.10210004463476707,0.747241311470475,0.6456238844042017,0.10211547534102963,0.7477393597452313,0.000498048274756302,0.21115175612150214,1.0557587806075106,False,1.843516148818761,YES,22483,YES,yes,0.5364115834236145,raw_passthrough,,
45,0,YES,0.5799734992833692,0.001727472911568384,0.5817009721949375,0.5801371193894082,0.0017280628234355305,0.5818651822128437,0.000164210017906119,0.41498965507396257,2.0749482753698127,False,5.8163228152049085,YES,22483,YES,yes,0.5295103788375854,raw_passthrough,,
