sample_idx,label_B,gold_yes_no,p_yes,p_no,decidedness,semantic_yes_mass,semantic_no_mass,semantic_decidedness,semantic_offliteral_mass,control_mass,decidedness_floor,above_floor,lean,c_pred_yes_no,top1_token_id,top1_decoded,top1_normalized,top1_prob,prompt_strategy_name,anchor_freegen_pred,anchor_match
0,1,NO,7.164336846909869e-05,0.5120866631239736,0.5121583064924426,7.414296881055939e-05,0.512094311755609,0.5121684547244196,1.0148231976980782e-05,0.00013274270274652187,0.0006637135137326094,True,-8.874548544178941,NO,2014, To,to,0.42432907223701477,raw_passthrough,,
1,0,YES,0.037428978858201845,0.015172135800311681,0.052601114658513526,0.03744116256341017,0.01517278110172585,0.052613943665136026,1.2829006622500083e-05,0.002335082825889176,0.01167541412944588,True,0.9029846656260265,YES,2014, To,to,0.8678387999534607,raw_passthrough,,
2,0,YES,0.003384742607266844,0.08485427429585846,0.0882390169031253,0.0033852466355436947,0.08485530796828337,0.08824055460382707,1.5377007017702837e-06,0.0010773506136254906,0.005386753068127453,True,-3.221657500597072,NO,2014, To,to,0.84783935546875,raw_passthrough,,
3,0,YES,0.029478798040017296,0.007194949713633665,0.03667374775365096,0.02948107622172884,0.007194988047435271,0.03667606426916411,2.316515513148265e-06,0.0005575619219243169,0.0027878096096215846,True,1.4102919430927703,YES,2014, To,to,0.9459428787231445,raw_passthrough,,
4,0,YES,0.000481765038737203,0.1219566444101976,0.1224384094489348,0.0004819266381718967,0.12195887114815487,0.12244079778632677,2.388337391967532e-06,0.0017307036254383288,0.008653518127191645,True,-5.5339643611026315,NO,2014, To,to,0.4410785436630249,raw_passthrough,,
5,0,YES,0.1372648632682285,0.008783932683705059,0.14604879595193357,0.13727097102315247,0.008784030063963437,0.14605500108711592,6.205135182346666e-06,0.0026940268863320863,0.013470134431660431,True,2.7489881465878807,YES,2014, To,to,0.7297478914260864,raw_passthrough,,
6,0,YES,0.12206725739474678,0.0035238936986909594,0.12559115109343774,0.1220714149025209,0.0035239300327249393,0.12559534493524582,4.1938418080811335e-06,0.007262314758408558,0.03631157379204279,True,3.5450056400121754,YES,2014, To,to,0.8420897126197815,raw_passthrough,,
7,0,YES,0.46493097430285957,0.0005595866731601465,0.4654905609760197,0.4649505972564736,0.0005596193724411275,0.46551021662891473,1.9655652895023135e-05,0.006141917715418596,0.03070958857709298,True,6.722445801837746,YES,2014, To,to,0.4840078353881836,raw_passthrough,,
8,0,YES,0.01697488855906215,0.0037013293375154355,0.020676217896577587,0.016979175087767386,0.0037014727225065805,0.020680647810273966,4.429913696379212e-06,0.000893644490487004,0.00446822245243502,True,1.5230430726742406,YES,2014, To,to,0.9644043445587158,raw_passthrough,,
9,0,YES,0.006295789782853944,0.18849423687606048,0.19479002665891443,0.006296384127942477,0.1884951471548299,0.19479153128277238,1.5046238579508042e-06,0.0003489028078260226,0.001744514039130113,True,-3.3991863111080005,NO,2014, To,to,0.7878807187080383,raw_passthrough,,
10,0,YES,5.576378457328168e-06,0.7324344048132545,0.7324399811917118,6.105665447476738e-06,0.7324388498828863,0.7324449555483338,4.97435662194512e-06,0.00017868593101376637,0.0008934296550688318,True,-11.78558934309099,NO,5664, NO,no,0.6239757537841797,raw_passthrough,,
11,0,YES,0.020574070904828545,0.10796962123241771,0.12854369213724626,0.020575514414679155,0.1079701969415446,0.12854571135622375,2.0192189774947966e-06,0.00297009188882861,0.014850459444143049,True,-1.6578183135972353,NO,2014, To,to,0.6550756692886353,raw_passthrough,,
12,0,YES,0.07958100506917276,0.06439136984927352,0.14397237491844628,0.07958461308499518,0.06439174480211671,0.14397635788711188,3.982968665605657e-06,0.0003867914898252182,0.001933957449126091,True,0.21179581900778774,YES,2014, To,to,0.8205087184906006,raw_passthrough,,
13,1,NO,1.1731665940182406e-06,0.8706845658973004,0.8706857390638943,1.4367610588201284e-06,0.8706861870123878,0.8706876237734466,1.8847095522023238e-06,0.00020575075983179385,0.0010287537991589693,True,-13.51732760270882,NO,5664, NO,no,0.8470049500465393,raw_passthrough,,
14,0,YES,0.2924154678850357,0.004544850383817967,0.29696031826885366,0.29244216845252646,0.0045450345839598005,0.2969872030364863,2.6884767632628925e-05,0.007438335166910918,0.03719167583455459,True,4.164180817767823,YES,2014, To,to,0.6093989014625549,raw_passthrough,,
15,1,NO,3.736311707464024e-05,0.34953693112115847,0.3495742942382331,3.751305868524513e-05,0.3495385290176147,0.34957604207629994,1.7478380668345395e-06,2.0657517313930454e-05,0.00010328758656965227,True,-9.143680433400284,NO,2014, To,to,0.611105740070343,raw_passthrough,,
16,1,NO,0.00011535330962919588,0.5179797371674653,0.5180950904770945,0.00011843804087630677,0.5179879595786586,0.5181063976195349,1.1307142440464268e-05,0.0003649097797555817,0.0018245488987779085,True,-8.409691718103296,NO,2014, To,to,0.40608054399490356,raw_passthrough,,
17,0,YES,0.3383244296178418,0.0004942646878828214,0.33881869430572464,0.338347474545369,0.0004943627492024203,0.3388418372945714,2.314298884675825e-05,0.05548199861451245,0.27740999307256226,True,6.528689383896654,YES,2014, To,to,0.542212188243866,raw_passthrough,,
18,1,NO,0.0014950808435774121,0.2031839029525251,0.2046789837961025,0.0014952899714210945,0.20318692405266564,0.20468221402408673,3.2302279842355563e-06,0.0001628555171679379,0.0008142775858396894,True,-4.9119312127970645,NO,2014, To,to,0.7246742844581604,raw_passthrough,,
19,1,NO,1.091875840183304e-06,0.9374866869374614,0.9374877788133016,2.529757543203525e-06,0.937491392338956,0.9374939220964992,6.143283197590499e-06,4.5089768230962766e-05,0.00022544884115481383,True,-13.66305974887967,NO,5664, NO,no,0.8374423384666443,raw_passthrough,,
20,1,NO,0.013747961636852324,0.0004160336867620601,0.014163995323614384,0.013758908509975987,0.0004161777974618874,0.014175086307437874,1.1090983823489747e-05,0.008997159603715388,0.04498579801857694,False,3.4978796104057777,YES,2014, To,to,0.9545787572860718,raw_passthrough,,
21,0,YES,0.29397661220093596,0.00020759552535615407,0.2941842077262921,0.29398028580463015,0.0002076167230386959,0.29418790252766885,3.6948013767412746e-06,0.007190050895400742,0.03595025447700371,True,7.255663891107581,YES,2014, To,to,0.6742172241210938,raw_passthrough,,
22,1,NO,0.11415257440174287,0.0018347127203936914,0.11598728712213656,0.11416209443963778,0.001834815880819098,0.11599691032045688,9.623198320318771e-06,0.0013946484021414131,0.006973242010707066,True,4.130648011375251,YES,2014, To,to,0.8593882322311401,raw_passthrough,,
23,0,YES,0.09980268536912718,0.05166578905294483,0.151468474422072,0.0998215681838371,0.05166700756358352,0.1514885757474206,2.010132534860376e-05,0.015045287309956724,0.07522643654978362,True,0.6583992484175303,YES,2014, To,to,0.780013918876648,raw_passthrough,,
24,1,NO,1.9943926513887877e-06,0.8248802954054746,0.824882289798126,2.699820714590577e-06,0.8248888259705538,0.8248915257912683,9.23599314239798e-06,0.0002369450356873509,0.0011847251784367545,True,-12.932653488308778,NO,5664, NO,no,0.7461673021316528,raw_passthrough,,
25,0,YES,0.7980910122107616,0.001160815412860769,0.7992518276236223,0.7980976525510625,0.001160849588448696,0.7992585021395111,6.674515888760446e-06,0.01702259717377109,0.08511298586885546,True,6.53309994018424,YES,14080, YES,yes,0.7137749791145325,raw_passthrough,,
26,0,YES,0.637860953462905,0.0012594244997078188,0.6391203779626128,0.6378670561818428,0.0012594471444265377,0.6391265033262693,6.12536365651728e-06,0.006876966422776793,0.03438483211388396,True,6.227465447159576,YES,14080, YES,yes,0.594547688961029,raw_passthrough,,
27,0,YES,0.4212291585553771,0.0036494274416309647,0.4248785859970081,0.4212370655912437,0.0036494605738907017,0.4248865261651344,7.940168126274738e-06,0.005808293108125763,0.029041465540628815,True,4.748606714948363,YES,2014, To,to,0.5063599348068237,raw_passthrough,,
28,0,YES,0.3393469069542334,0.00032188397775679417,0.3396687909319902,0.3393892838122734,0.00032196993246439467,0.3397112537447378,4.246281274761232e-05,0.04163354076233067,0.20816770381165334,True,6.960587021279199,YES,2014, To,to,0.552096962928772,raw_passthrough,,
29,0,YES,0.3911927070736283,0.00381962998844243,0.39501233706207073,0.3912353375584369,0.0038199170040594636,0.3950552545624964,4.291750042567655e-05,0.021446225716219836,0.10723112858109918,True,4.629046739015011,YES,2014, To,to,0.5336430072784424,raw_passthrough,,
30,1,NO,0.0001626382286601391,0.23971956874618217,0.2398822069748423,0.00016291958785187344,0.23972148727918907,0.23988440686704093,2.1998921986288167e-06,0.0017932484657925368,0.008966242328962684,True,-7.295696771345376,NO,2014, To,to,0.7298561334609985,raw_passthrough,,
31,0,YES,0.047568520006564086,0.0009943208616175446,0.048562840868181634,0.04757232256703198,0.0009943467889806737,0.04856666935601265,3.828487831016025e-06,0.002167510801418687,0.010837554007093436,True,3.867866523073864,YES,2014, To,to,0.9414334297180176,raw_passthrough,,
32,1,NO,2.586352586410323e-06,0.4298442599820893,0.42984684633467574,3.506786470095625e-06,0.429847687548123,0.4298511943345931,4.347999917386769e-06,0.0006933805881442184,0.003466902940721092,True,-12.020929233958713,NO,2014, To,to,0.5246300101280212,raw_passthrough,,
33,0,YES,0.12022064378709274,0.0003186021075965162,0.12053924589468926,0.12022782653511394,0.00031862813079214057,0.12054645466590608,7.208771216821175e-06,0.003543364540874572,0.01771682270437286,True,5.933141015888628,YES,2014, To,to,0.8647676706314087,raw_passthrough,,
34,1,NO,4.120963233697483e-05,0.7840702477302894,0.7841114573626264,4.38922887525179e-05,0.7840767037884515,0.7841205960772041,9.138714577638929e-06,7.535515229421984e-05,0.00037677576147109916,True,-9.853581849133901,NO,5664, NO,no,0.6943681836128235,raw_passthrough,,
35,0,YES,0.2506914199872483,0.00019669753914725984,0.25088811752639556,0.2506990121621792,0.00019671921965340716,0.25089573138183263,7.613855437071937e-06,0.002394965023676483,0.011974825118382415,True,7.150310839630915,YES,2014, To,to,0.7319135665893555,raw_passthrough,,
36,0,YES,0.16703278053498138,0.04418761833170637,0.21122039886668775,0.16704722146401024,0.04418791837425672,0.21123513983826697,1.4740971579219053e-05,0.000844070443286596,0.004220352216432979,True,1.3297454621677873,YES,2014, To,to,0.6613792777061462,raw_passthrough,,
37,1,NO,0.0006236836455437711,0.3357456600553701,0.33636934370091387,0.0006240625630799284,0.33574708564535966,0.3363711482084396,1.8045075257377974e-06,0.00018136316014754104,0.0009068158007377051,True,-6.288465925064778,NO,2014, To,to,0.63744056224823,raw_passthrough,,
38,0,YES,0.45062092893152794,0.0002813662827237419,0.4509022952142517,0.4506249210257938,0.0002813757272807966,0.45090629675307464,4.0015388229619475e-06,0.0017393318475388384,0.008696659237694191,True,7.378724431401171,YES,2014, To,to,0.5046501159667969,raw_passthrough,,
39,1,NO,3.0169502911771284e-06,0.8430854246538964,0.8430884416041875,4.628156640448095e-06,0.8430891756115472,0.8430938037681877,5.362164000155545e-06,3.6583282856332295e-05,0.00018291641428166147,True,-12.540576750700803,NO,5664, NO,no,0.796685516834259,raw_passthrough,,
40,0,YES,0.7547835502204521,0.0001956961554945777,0.7549792463759466,0.7547891784218524,0.0001957227438800855,0.7549849011657326,5.654789785980441e-06,0.0067907306399820535,0.03395365319991027,True,8.25762306425303,YES,14080, YES,yes,0.6803383231163025,raw_passthrough,,
41,1,NO,1.6777845281302356e-06,0.7797863618681511,0.7797880396526792,3.7078479009890363e-06,0.7797950075347987,0.7797987153826996,1.0675730020448526e-05,0.0001141642184260321,0.0005708210921301605,True,-13.049300480220765,NO,5664, NO,no,0.6999719738960266,raw_passthrough,,
42,1,NO,0.06407639079976946,0.15770117093168423,0.2217775617314537,0.06408278449417623,0.15770277920406023,0.22178556369823646,8.00196678277243e-06,0.0012132181585491572,0.006066090792745785,True,-0.9006259411659315,NO,2014, To,to,0.6870664358139038,raw_passthrough,,
