sample_idx,label_B,gold_yes_no,p_yes,p_no,decidedness,semantic_yes_mass,semantic_no_mass,semantic_decidedness,semantic_offliteral_mass,control_mass,decidedness_floor,above_floor,lean,c_pred_yes_no,top1_token_id,top1_decoded,top1_normalized,top1_prob,prompt_strategy_name,anchor_freegen_pred,anchor_match
0,1,NO,0.43818114451861906,0.5615366870984093,0.9997178316170283,0.43818193543140593,0.5615373537328767,0.9997192891642827,1.457547254335445e-06,8.14060769272503e-06,4.0703038463625154e-05,True,-0.2480447128682625,NO,5664, NO,no,0.5615314841270447,raw_passthrough,,
1,0,YES,0.02045394671359324,0.9787910026343319,0.9992449493479252,0.02045411943788473,0.9787990891923884,0.9992532086302732,8.259282348044295e-06,1.0401300006614177e-05,5.200650003307089e-05,True,-3.8681422820394813,NO,5664, NO,no,0.9787501096725464,raw_passthrough,,
2,0,YES,0.05387721091859887,0.9456861078007166,0.9995633187193155,0.05387742877265879,0.9456877618235134,0.9995651905961722,1.8718768567405064e-06,5.584514332482141e-06,2.7922571662410705e-05,True,-2.8652031185233517,NO,5664, NO,no,0.9456517100334167,raw_passthrough,,
3,0,YES,0.5632590185515545,0.4363428285134799,0.9996018470650343,0.5632614506586353,0.4363434200589819,0.9996048707176173,3.023652582978542e-06,1.5841812732929845e-05,7.920906366464922e-05,True,0.25531135251129783,YES,14080, YES,yes,0.5602623224258423,raw_passthrough,,
4,0,YES,0.6792581448898232,0.3206988624067312,0.9999570072965543,0.6792583096492953,0.32069891156394265,0.9999572212132379,2.139166835890549e-07,1.1446846527193328e-06,5.723423263596664e-06,True,0.7504986797640487,YES,14080, YES,yes,0.6789175868034363,raw_passthrough,,
5,0,YES,0.3215480172880003,0.6778358047628125,0.9993838220508128,0.3215484625628962,0.6778370287584105,0.9993854913213067,1.6692704939424985e-06,1.3209467360053444e-05,6.604733680026721e-05,True,-0.7457581962894445,NO,5664, NO,no,0.677823543548584,raw_passthrough,,
6,0,YES,0.2697008572075563,0.7300965727420943,0.9997974299496506,0.2697010873778254,0.7300967852487439,0.9997978726265693,4.426769186771651e-07,7.750752393510403e-06,3.8753761967552015e-05,True,-0.9958634083029244,NO,5664, NO,no,0.7300896644592285,raw_passthrough,,
7,0,YES,0.0182832977670912,0.9802975434204696,0.9985808411875607,0.01828370818690741,0.9803231647344671,0.9986068729213745,2.6031733813769442e-05,7.254893014725392e-06,3.627446507362696e-05,True,-3.981868188495107,NO,5664, NO,no,0.9802133440971375,raw_passthrough,,
8,0,YES,0.29483872607554984,0.7025212469560049,0.9973599730315548,0.2948401749655844,0.702522681257378,0.9973628562229624,2.883191407621055e-06,1.4502873358332041e-05,7.25143667916602e-05,True,-0.8682471299454604,NO,5664, NO,no,0.7025033831596375,raw_passthrough,,
9,0,YES,0.16545226881823583,0.8330423356818769,0.9984946045001127,0.16545313643692716,0.8330463676574571,0.9984995040943843,4.899594271523533e-06,8.653429960013566e-06,4.3267149800067835e-05,True,-1.616401716730039,NO,5664, NO,no,0.8329695463180542,raw_passthrough,,
10,0,YES,0.014349960012687735,0.9854523517755139,0.9998023117882017,0.01435023699689174,0.9854579588074716,0.9998081958043633,5.8840161616391384e-06,5.727990990967181e-06,2.8639954954835906e-05,True,-4.229353620436595,NO,5664, NO,no,0.9853296875953674,raw_passthrough,,
11,0,YES,0.0036760192025494104,0.9958551121011263,0.9995311313036758,0.003676051279068069,0.9958577165668903,0.9995337678459584,2.636542282608012e-06,1.656768353989762e-06,8.283841769948811e-06,True,-5.601771348711951,NO,5664, NO,no,0.9957691431045532,raw_passthrough,,
12,0,YES,0.9627046202068237,0.03715489999733475,0.9998595202041585,0.9627052826680822,0.037154942277071085,0.9998602249451533,7.047409947835703e-07,1.1429696658996607e-06,5.714848329498303e-06,True,3.254650975857896,YES,14080, YES,yes,0.9582158923149109,raw_passthrough,,
