sample_idx,label_B,gold_yes_no,p_yes,p_no,decidedness,semantic_yes_mass,semantic_no_mass,semantic_decidedness,semantic_offliteral_mass,control_mass,decidedness_floor,above_floor,lean,c_pred_yes_no,top1_token_id,top1_decoded,top1_normalized,top1_prob,prompt_strategy_name,anchor_freegen_pred,anchor_match
0,1,NO,0.004020936164875477,0.9761373046155292,0.9801582407804046,0.004021558953872833,0.9761379445498576,0.9801595035037304,1.2627233257900272e-06,0.0002631282835664911,0.0013156414178324555,True,-5.49208850487529,NO,5664, NO,no,0.9754436016082764,raw_passthrough,,
1,0,YES,0.8760884142241314,0.05598692940639047,0.9320753436305219,0.8760884924565182,0.05598695269939097,0.9320754451559092,1.0152538731933447e-07,0.006960167006543939,0.03480083503271969,True,2.7503487552712262,YES,14080, YES,yes,0.8757081627845764,raw_passthrough,,
2,0,YES,0.8863936315286276,0.0036211460796969574,0.8900147776083246,0.8863940386510099,0.0036211721579404886,0.8900152108089503,4.332006257046217e-07,0.0017038606509499708,0.008519303254749854,True,5.500370558711955,YES,14080, YES,yes,0.8856765031814575,raw_passthrough,,
3,0,YES,0.9968946881492954,9.581611242298578e-05,0.9969905042617183,0.9968947285156549,9.581725720036326e-05,0.9969905457728552,4.151113686123864e-08,0.0002658864029876584,0.0013294320149382919,True,9.249969545226145,YES,14080, YES,yes,0.9966625571250916,raw_passthrough,,
4,0,YES,0.9398706483997492,0.032160607023353466,0.9720312554231026,0.93987072341633,0.032160641166598655,0.9720313645829287,1.0915982606718444e-07,0.0001058671966456804,0.000529335983228402,True,3.374999938442878,YES,14080, YES,yes,0.9396527409553528,raw_passthrough,,
5,0,YES,0.9955264734114948,0.00020255678804991572,0.9957290301995447,0.9955264745066477,0.00020255688579977986,0.9957290313924474,1.1929026655366215e-09,4.947248647002202e-05,0.0002473624323501101,True,8.500006708230773,YES,14080, YES,yes,0.995468020439148,raw_passthrough,,
6,0,YES,0.9998843815426828,8.314434202011969e-07,0.999885212986103,0.9998843816088527,8.314453210749764e-07,0.9998852130541738,6.807077124193484e-11,3.8588580795196315e-06,1.929429039759816e-05,True,13.999985758219614,YES,14080, YES,yes,0.9998781681060791,raw_passthrough,,
7,0,YES,0.9993571551930172,3.533573215579792e-05,0.9993924909251729,0.9993571554609293,3.533574774590529e-05,0.9993924912086752,2.835023327207864e-10,8.548252378861618e-06,4.274126189430809e-05,True,10.249972783803727,YES,14080, YES,yes,0.9993258714675903,raw_passthrough,,
8,0,YES,0.7543383833816417,0.061900256491596826,0.8162386398732385,0.7543390586545763,0.06190053737378221,0.8162395960283585,9.561551199688267e-07,0.006221425219459735,0.031107126097298675,True,2.500316728318843,YES,14080, YES,yes,0.7537293434143066,raw_passthrough,,
9,0,YES,0.9642445864473065,0.0034774909475608086,0.9677220773948673,0.9642446918103463,0.003477502890106477,0.9677221947004528,1.1730558557854209e-07,0.0005562268960465644,0.0027811344802328216,True,5.625033940857103,YES,14080, YES,yes,0.9639569520950317,raw_passthrough,,
10,0,YES,0.9982119658299052,7.875739222702734e-06,0.9982198415691279,0.9982119713381025,7.875843361657769e-06,0.9982198471814642,5.61233626239499e-09,0.00010794836822943114,0.0005397418411471557,True,11.749933746526057,YES,14080, YES,yes,0.9981661438941956,raw_passthrough,,
11,0,YES,0.9238293347740677,0.011627688256372755,0.9354570230304404,0.9238294362091973,0.011627700245499093,0.9354571364546964,1.1342425598748207e-07,0.0016015233745909564,0.008007616872954782,True,4.3751381792718895,YES,14080, YES,yes,0.9236399531364441,raw_passthrough,,
12,0,YES,0.9988480775671897,4.53462258508732e-05,0.9988934237930406,0.9988480900927618,4.5346552967608195e-05,0.9988934366457294,1.2852688802134082e-08,7.820424105949407e-05,0.0003910212052974704,True,10.00003099910236,YES,14080, YES,yes,0.9987066984176636,raw_passthrough,,
13,1,NO,0.00850825391112511,0.9833935846987569,0.991901838609882,0.008508274769681263,0.983393622274875,0.9919018970445563,5.843467432153915e-08,0.0002248764505960978,0.0011243822529804891,True,-4.749972690545705,NO,5664, NO,no,0.9833623766899109,raw_passthrough,,
14,0,YES,0.9791542421765396,0.00025579772346231885,0.9794100399000019,0.9791542858577301,0.0002558004800113383,0.9794100863377415,4.643773965362641e-08,0.010547633267034255,0.052738166335171276,True,8.25005746650969,YES,14080, YES,yes,0.9786115288734436,raw_passthrough,,
15,1,NO,0.00737939760775097,0.958963245364668,0.966342642972419,0.007381851685739895,0.9589670665108917,0.9663489181966316,6.275224212592967e-06,0.0012979693337577653,0.006489846668788827,True,-4.867160737698231,NO,5664, NO,no,0.9571107625961304,raw_passthrough,,
16,1,NO,0.07276047520579532,0.17266408145423162,0.24542455666002694,0.07276179876289322,0.17266546746260225,0.2454272662254955,2.709565468550501e-06,0.08875724896536573,0.44378624482682866,False,-0.8641750964292798,NO,6771, Let,let,0.6016269326210022,raw_passthrough,,
17,0,YES,0.9983500881651489,2.748815228232175e-05,0.9983775763174313,0.9983500929629997,2.7488201632285333e-05,0.9983775811646319,4.8472006408673e-09,0.0013450050732901676,0.0067250253664508375,True,10.500104161404687,YES,14080, YES,yes,0.9981696605682373,raw_passthrough,,
18,1,NO,0.40229524701800834,0.16754268608429684,0.5698379331023051,0.40229613461264646,0.1675431268199783,0.5698392614326248,1.3283303196276464e-06,0.0005010388886028952,0.0025051944430144763,True,0.8759481032683379,YES,14080, YES,yes,0.40175938606262207,raw_passthrough,,
19,1,NO,0.024734000123633415,0.9263509620507393,0.9510849621743727,0.024734196111862533,0.9263515219495215,0.9510857180613841,7.558870114277028e-07,0.0005904904426361566,0.0029524522131807833,True,-3.6230743511768932,NO,5664, NO,no,0.92583829164505,raw_passthrough,,
20,1,NO,0.9901929533329142,0.00013846527616137426,0.9903314186090756,0.9901929762954015,0.00013846685597851527,0.99033144315138,2.4542304410957172e-08,0.0004313302464383453,0.0021566512321917267,True,8.875035517698048,YES,14080, YES,yes,0.9899613857269287,raw_passthrough,,
21,0,YES,0.704284119057454,0.1777939522509807,0.8820780713084347,0.7042866236052986,0.1777943540413674,0.882080977646666,2.906338231301042e-06,0.0010608382931035056,0.005304191465517528,True,1.3765565447798063,YES,14080, YES,yes,0.7029183506965637,raw_passthrough,,
22,1,NO,0.8995100292372273,0.01132221995684385,0.9108322491940712,0.899510115880712,0.011322249025908084,0.91083236490662,1.1571254876496795e-07,0.001945282778728425,0.009726413893642125,True,4.375083040222513,YES,14080, YES,yes,0.8988692164421082,raw_passthrough,,
23,0,YES,0.9947653706845214,3.517511109563174e-05,0.994800545795617,0.9947653754884128,3.5175177781143656e-05,0.994800550666194,4.870576941762295e-09,0.0038828086226376313,0.019414043113188156,True,10.24992339018359,YES,14080, YES,yes,0.9945040941238403,raw_passthrough,,
24,1,NO,0.02616949590936292,0.866022938167371,0.8921924340767339,0.02616975578303508,0.8660232098072275,0.8921929655902625,5.31513528634342e-07,0.0013132101212577879,0.0065660506062889396,True,-3.4993169414658003,NO,5664, NO,no,0.865600049495697,raw_passthrough,,
25,0,YES,0.9921814918316474,0.00020188126926940953,0.9923833731009168,0.9921815527101833,0.00020188315494968208,0.992383435865133,6.276421615769578e-08,0.00010716467276696412,0.0005358233638348206,True,8.499981571356527,YES,14080, YES,yes,0.9920576214790344,raw_passthrough,,
26,0,YES,0.9864728746458151,7.383765048727599e-05,0.9865467122963024,0.9864729336089956,7.383872849122753e-05,0.9865467723374868,6.004118435765093e-08,0.00014875699332089914,0.0007437849666044957,True,9.5000223232482,YES,14080, YES,yes,0.9863637089729309,raw_passthrough,,
27,0,YES,0.9859683430076938,0.0003307162975110099,0.9862990593052048,0.9859683694343905,0.0003307168837473182,0.9862990863181378,2.7012933001557826e-08,0.0006438496337013171,0.0032192481685065855,True,8.000118622930396,YES,14080, YES,yes,0.985592782497406,raw_passthrough,,
28,0,YES,0.9946293754718111,8.891224983264139e-06,0.9946382666967943,0.9946293790793093,8.89126744384299e-06,0.9946382703467531,3.649958779661233e-09,0.00430954463230411,0.02154772316152055,True,11.625060513891578,YES,14080, YES,yes,0.9943992495536804,raw_passthrough,,
29,0,YES,0.9065689934850392,0.0012005400061590387,0.9077695334911982,0.9065691050780822,0.0012005490294487488,0.907769654107531,1.206163328104637e-07,0.04820034568136925,0.24100172840684625,True,6.626895675508628,YES,14080, YES,yes,0.9033084511756897,raw_passthrough,,
30,1,NO,0.6385211880063548,0.059365284227128695,0.6978864722334835,0.6385219719972444,0.05936552473382879,0.6978874967310732,1.0244975896522845e-06,0.0012151594466421158,0.006075797233210579,True,2.37544524404587,YES,14080, YES,yes,0.6380646228790283,raw_passthrough,,
31,0,YES,0.9453158525113696,0.0023429458784816775,0.9476587983898513,0.9453158957059813,0.0023429492531256697,0.9476588449591069,4.656925556290048e-08,0.0017532573006058406,0.008766286503029203,True,6.000110046666233,YES,14080, YES,yes,0.9451649188995361,raw_passthrough,,
32,1,NO,0.06979687741506291,0.8498137189834394,0.9196105963985023,0.06979702435246962,0.8498138696095119,0.9196108939619815,2.975634791901882e-07,0.005760876461766617,0.028804382308833084,True,-2.499427898722554,NO,5664, NO,no,0.8496939539909363,raw_passthrough,,
33,0,YES,0.9986303518647439,5.13754310042818e-05,0.9986817272957482,0.998630397058683,5.13764062387255e-05,0.9986817734649217,4.616917348432281e-08,9.726419648975347e-05,0.00048632098244876735,True,9.87497988938116,YES,14080, YES,yes,0.998532772064209,raw_passthrough,,
34,1,NO,0.010821278450039575,0.9731789372244173,0.9840002156744568,0.010821425155647182,0.9731799338431966,0.9840013589988438,1.1433243869429788e-06,0.00011968801149399474,0.0005984400574699738,True,-4.499053545146745,NO,5664, NO,no,0.9728085398674011,raw_passthrough,,
35,0,YES,0.9970173393657829,3.111272629264419e-05,0.9970484520920755,0.9970173761710284,3.111344336728254e-05,0.9970484896143956,3.752232013987111e-08,0.00017283454518178748,0.0008641727259089374,True,10.374906467158272,YES,14080, YES,yes,0.9968128800392151,raw_passthrough,,
36,0,YES,0.4656663537462645,0.5274114735827693,0.9930778273290338,0.46566638870565347,0.527411551956327,0.9930779406619805,1.133329466940225e-07,4.7480993409542885e-05,0.00023740496704771443,True,-0.12451163006933431,NO,5664, NO,no,0.5273764729499817,raw_passthrough,,
