sample_idx,label_B,gold_yes_no,p_yes,p_no,decidedness,semantic_yes_mass,semantic_no_mass,semantic_decidedness,semantic_offliteral_mass,control_mass,decidedness_floor,above_floor,lean,c_pred_yes_no,top1_token_id,top1_decoded,top1_normalized,top1_prob,prompt_strategy_name,anchor_freegen_pred,anchor_match
0,1,NO,0.033055855359938435,0.9659235575313659,0.9989794128913043,0.03305603583219428,0.9659235930668049,0.9989796288989992,2.1600769484209081e-07,0.000818584572642124,0.00409292286321062,True,-3.374885980741058,NO,9424, NO,no,0.9656925201416016,raw_passthrough,,
1,0,YES,0.9927359028117451,0.0035806953604663786,0.9963165981722114,0.9927379791336524,0.0035806969030989823,0.9963186760367514,2.0778645399843754e-06,0.0033717502153623657,0.01685875107681183,True,5.624907653174382,YES,51327, YES,yes,0.9924331903457642,raw_passthrough,,
2,0,YES,0.007537118516200189,0.9877665887676788,0.995303707283879,0.007537267245617167,0.9877666121548412,0.9953038794004584,1.7211657943327907e-07,0.004390078672180952,0.02195039336090476,True,-4.875606474196011,NO,9424, NO,no,0.9867026805877686,raw_passthrough,,
3,0,YES,0.9724883325912446,0.025917123168795925,0.9984054557600405,0.9724897092274732,0.025917126623940353,0.9984068358514135,1.3800913730710462e-06,0.001296631505820592,0.006483157529102959,True,3.6249542015814225,YES,51327, YES,yes,0.9718437194824219,raw_passthrough,,
4,0,YES,0.9979712342964338,0.0013243672900576198,0.9992956015864913,0.9979715070540041,0.0013243674177441927,0.9992958744717483,2.7288525694668664e-07,0.0005404658855724139,0.0027023294278620694,True,6.624789623338701,YES,51327, YES,yes,0.9976721405982971,raw_passthrough,,
5,0,YES,0.9867474599843664,0.012416618547853898,0.9991640785322203,0.986748979761103,0.012416624007872804,0.9991656037689758,1.5252367554507984e-06,0.0007143769457761496,0.0035718847288807483,True,4.375378359528035,YES,51327, YES,yes,0.9858394861221313,raw_passthrough,,
6,0,YES,0.9993187414868935,0.000295848301750299,0.9996145897886438,0.9993187931552792,0.000295848309383489,0.9996146414646626,5.1676018797408574e-08,0.0003533277106821661,0.0017666385534108307,True,8.124982235042777,YES,51327, YES,yes,0.9991853833198547,raw_passthrough,,
7,0,YES,0.9967790847848474,0.0024711802209813373,0.9992502650058288,0.9967805602567308,0.0024711811199595642,0.9992517413766904,1.476370861563936e-06,0.000589223638092667,0.002946118190463335,True,5.999833306271862,YES,51327, YES,yes,0.9965699911117554,raw_passthrough,,
8,0,YES,0.9975576097478582,0.0010308573127078358,0.998588467060566,0.9975580026699015,0.00103085746930167,0.9985888601392031,3.930786370842654e-07,0.0011266986406602104,0.005633493203301052,True,6.874919101788974,YES,51327, YES,yes,0.9971390962600708,raw_passthrough,,
9,0,YES,0.0006252993871364934,0.9978718791407356,0.9984971785278721,0.0006253489739761775,0.9978718909108854,0.9984972398848615,6.135698937814738e-08,0.0013909236319571074,0.0069546181597855364,True,-7.37514961337815,NO,9424, NO,no,0.9975517392158508,raw_passthrough,,
10,0,YES,0.16434983580049384,0.8346722116517288,0.9990220474522227,0.16435000644130218,0.8346722192921457,0.9990222257334479,1.782812252271171e-07,0.0007652707639945204,0.003826353819972602,True,-1.6250417858522157,NO,9424, NO,no,0.8345518708229065,raw_passthrough,,
11,0,YES,0.9980127241629042,0.000625504360841442,0.9986382285237456,0.9980129694653117,0.0006255044406193745,0.9986384739059311,2.4538218545977486e-07,0.0012501483234114996,0.006250741617057498,True,7.37496300162529,YES,51327, YES,yes,0.9977514147758484,raw_passthrough,,
12,0,YES,0.9989843712046935,0.00023033610003519748,0.9992147073047287,0.9989844174180289,0.00023033610813811954,0.9992147535261671,4.6221438343430066e-08,0.0007048542168802008,0.0035242710844010042,True,8.374954861970433,YES,51327, YES,yes,0.9988692402839661,raw_passthrough,,
13,1,NO,0.00042976950242676576,0.9978856076263578,0.9983153771287846,0.0004298417033841018,0.9978856391796486,0.9983154808830327,1.0375424808195532e-07,0.001596600611803722,0.00798300305901861,True,-7.750144900682987,NO,9424, NO,no,0.9975143671035767,raw_passthrough,,
14,0,YES,0.9974726891637136,0.0019256225715370873,0.9993983117352506,0.9974728455964087,0.0019256226616889565,0.9993984682580976,1.5652284701683783e-07,0.0005042757325625877,0.0025213786628129385,True,6.249975439348109,YES,51327, YES,yes,0.9971920847892761,raw_passthrough,,
15,1,NO,0.98679768618373,0.012425357988765805,0.9992230441724957,0.9867983210164312,0.012425366020050252,0.9992236870364815,6.428639857114504e-07,0.0006548846664062872,0.0032744233320314365,True,4.37472565626505,YES,51327, YES,yes,0.9864869117736816,raw_passthrough,,
16,1,NO,0.998828621315458,0.0007093406198651384,0.9995379619353232,0.9988288069768471,0.0007093406727093569,0.9995381476495564,1.8571423321400715e-07,0.0003491094251214698,0.0017455471256073488,True,7.250002657163799,YES,51327, YES,yes,0.9986227750778198,raw_passthrough,,
